num	gear_long	method	code	gear	flag	region
1	LL	L	1.LL.WEST.1	LL	ALL	1
2	LL	L	2.LL.EAST.1	LL	ALL	1
3	LL	L	3.LL.US.1	LL	US	1
4	LL	L	4.LL.ALL.2	LL	ALL	2
5	LL	L	5.LL.OS.2	LL	OS	2
6	LL	L	6.LL.ALL.3	LL	ALL	3
7	LL	L	7.LL.WEST.4	LL	ALL	4
8	LL	L	8.LL.EAST.4	LL	ALL	4
9	LL	L	9.LL.OS.4	LL	OS	4
10	LL	L	10.LL.ALL.5	LL	ALL	5
11	LL	L	11.LL.AU.5	LL	AU	5
12	PS	S	12.PS.JP.1	PS	JP	1
13	PL	P	13.PL.JP.1	PL	JP	1
14	HL	Z	14.HL.ID.2	MISC	ID	2
15	HL	Z	15.HL.PH.2	MISC	PH	2
16	PL	P	16.PL.ALL.2	PL	ALL	2
17	PS	S	17.PS.ID.2	PS	ID	2
18	PS	S	18.PS.PH.2	PS	PH	2
19	PS.ASS	SA	19.PS.ASS.2	PS.ASS	ALL	2
20	PS.UNA	SU	20.PS.UNA.2	PS.UNA	ALL	2
21	DOM	Z	21.DOM.ID.2	MISC	ID	2
22	DOM	Z	22.DOM.PH.2	MISC	PH	2
23	DOM	Z	23.DOM.VN.2	MISC	VN	2
24	PL	P	24.PL.ALL.3	PL	ALL	3
25	PS.ASS	SA	25.PS.ASS.3	PS.ASS	ALL	3
26	PS.UNA	SU	26.PS.UNA.3	PS.UNA	ALL	3
27	PL	P	27.PL.ALL.4	PL	ALL	4
28	PS.ASS	SA	28.PS.ASS.WEST.4 	PS.ASS	ALL	4
29	PS.ASS	SA	29.PS.ASS.EAST.4 	PS.ASS	ALL	4
30	PS.UNA	SU	30.PS.UNA.WEST.4	PS.UNA	ALL	4
31	PS.UNA	SU	31.PS.UNA.EAST.4	PS.UNA	ALL	4
32	Index	I	32.LL.IDX.1	LL	IDX	1
33	Index	I	33.LL.IDX.2	LL	IDX	2
34	Index	I	34.LL.IDX.3	LL	IDX	3
35	Index	I	35.LL.IDX.4	LL	IDX	4
36	Index	I	36.LL.IDX.5	LL	IDX	5
