year,season,fishery,length,freq
1956,4,1,10,0
1956,4,1,12,0
1956,4,1,14,0
1956,4,1,16,0
1956,4,1,18,0
1956,4,1,20,0
1956,4,1,22,0
1956,4,1,24,0
1956,4,1,26,0
1956,4,1,28,0
1956,4,1,30,0
1956,4,1,32,0
1956,4,1,34,0
1956,4,1,36,0
1956,4,1,38,0
1956,4,1,40,0
1956,4,1,42,0
1956,4,1,44,0
1956,4,1,46,0
1956,4,1,48,0
1956,4,1,50,0
1956,4,1,52,7.69920489905203e-05
1956,4,1,54,0.00107788868586728
1956,4,1,56,0.00474271021781605
1956,4,1,58,0.0152136288805268
1956,4,1,60,0.0401282559338592
1956,4,1,62,0.106526198983284
1956,4,1,64,0.22960568849953
1956,4,1,66,0.453714144701136
1956,4,1,68,0.837688891426659
1956,4,1,70,1.4562122161969
1956,4,1,72,2.13851575435089
1956,4,1,74,2.96143757078117
1956,4,1,76,3.74002736540271
1956,4,1,78,4.45779344132173
1956,4,1,80,5.1922667918717
1956,4,1,82,5.56359944415298
1956,4,1,84,5.52508802124792
1956,4,1,86,5.17060122928577
1956,4,1,88,4.56624444152978
1956,4,1,90,3.78027880861495
1956,4,1,92,2.95538599573052
1956,4,1,94,2.20974879807692
1956,4,1,96,1.67051188535712
1956,4,1,98,1.36416052242384
1956,4,1,100,1.36676285367972
1956,4,1,102,1.62060563920146
1956,4,1,104,2.06583526010384
1956,4,1,106,2.77833507987192
1956,4,1,108,3.82379471470439
1956,4,1,110,5.11893956441313
1956,4,1,112,6.75842365402706
1956,4,1,114,8.30189865854982
1956,4,1,116,10.0708525777462
1956,4,1,118,11.5988521804219
1956,4,1,120,13.0866927303441
1956,4,1,122,14.1252076823576
1956,4,1,124,14.4384267360609
1956,4,1,126,13.7404938119618
1956,4,1,128,12.6452973134814
1956,4,1,130,11.1391326558995
1956,4,1,132,8.89244307271691
1956,4,1,134,6.76002508864607
1956,4,1,136,4.84889765178378
1956,4,1,138,3.43731002718178
1956,4,1,140,2.4056935627578
1956,4,1,142,1.63334012410449
1956,4,1,144,1.10106329261343
1956,4,1,146,0.698379477983212
1956,4,1,148,0.459272970638252
1956,4,1,150,0.299930226047471
1956,4,1,152,0.191787194035386
1956,4,1,154,0.108989944550981
1956,4,1,156,0.0547259484224618
1956,4,1,158,0.0242216986124177
1956,4,1,160,0.0174002030718576
1956,4,1,162,0.0244834715789855
1956,4,1,164,0.0339226967852232
1956,4,1,166,0.0364326375823142
1956,4,1,168,0.0264698664429409
1956,4,1,170,0.0131194451479847
1956,4,1,172,0.00545103706852884
1956,4,1,174,0.00163223143859903
1956,4,1,176,0.000261772966567769
1956,4,1,178,1.53984097981041e-05
1956,4,1,180,0
1956,4,1,182,0
1956,4,1,184,0
1956,4,1,186,0
1956,4,1,188,0
1956,4,1,190,0
1956,4,1,192,0
1956,4,1,194,0
1956,4,1,196,0
1956,4,1,198,0
1957,1,1,10,0
1957,1,1,12,0
1957,1,1,14,0
1957,1,1,16,0
1957,1,1,18,0
1957,1,1,20,0
1957,1,1,22,0
1957,1,1,24,0
1957,1,1,26,0
1957,1,1,28,0
1957,1,1,30,0
1957,1,1,32,0
1957,1,1,34,0
1957,1,1,36,0
1957,1,1,38,0
1957,1,1,40,0
1957,1,1,42,0
1957,1,1,44,0
1957,1,1,46,0
1957,1,1,48,0
1957,1,1,50,0
1957,1,1,52,0.00135704348642774
1957,1,1,54,0.0179272356352149
1957,1,1,56,0.0760942665405349
1957,1,1,58,0.221011373228092
1957,1,1,60,0.505540367520499
1957,1,1,62,1.05048273976041
1957,1,1,64,1.86033919647235
1957,1,1,66,3.20427977204153
1957,1,1,68,5.33016168980185
1957,1,1,70,8.37137587971957
1957,1,1,72,11.4116727335004
1957,1,1,74,15.1149868680232
1957,1,1,76,17.6718748368005
1957,1,1,78,18.7109187307781
1957,1,1,80,18.0399005731623
1957,1,1,82,16.0451728932918
1957,1,1,84,13.3490804183367
1957,1,1,86,11.2344648129597
1957,1,1,88,9.60822422604004
1957,1,1,90,8.44329535194711
1957,1,1,92,7.5438947016071
1957,1,1,94,7.06877077028646
1957,1,1,96,7.25158681671786
1957,1,1,98,8.12656062417469
1957,1,1,100,9.73760548241588
1957,1,1,102,11.5133012258931
1957,1,1,104,12.8036590969682
1957,1,1,106,13.8768677073881
1957,1,1,108,15.0831535666288
1957,1,1,110,16.3237031180048
1957,1,1,112,18.0767145301214
1957,1,1,114,19.7475525813477
1957,1,1,116,22.1803616577437
1957,1,1,118,24.0403424314079
1957,1,1,120,25.3937688633001
1957,1,1,122,25.4778409071374
1957,1,1,124,24.2321652081535
1957,1,1,126,21.74839802002
1957,1,1,128,18.8566103455652
1957,1,1,130,16.0131883820248
1957,1,1,132,13.4487395505784
1957,1,1,134,12.1558576173699
1957,1,1,136,11.5986026432174
1957,1,1,138,11.1675372589449
1957,1,1,140,10.4159417258014
1957,1,1,142,8.8575228900213
1957,1,1,144,7.29752410454287
1957,1,1,146,5.40797984492463
1957,1,1,148,3.86581798052736
1957,1,1,150,2.63622252770237
1957,1,1,152,1.77987914931089
1957,1,1,154,1.25183973682926
1957,1,1,156,0.866092957125592
1957,1,1,158,0.544836773387804
1957,1,1,160,0.300823762040642
1957,1,1,162,0.152061522193243
1957,1,1,164,0.0846138729116254
1957,1,1,166,0.0680415713149978
1957,1,1,168,0.0757745938503793
1957,1,1,170,0.0802812214654926
1957,1,1,172,0.0643699034343371
1957,1,1,174,0.0364162801800922
1957,1,1,176,0.0148794124684655
1957,1,1,178,0.00462693139399709
1957,1,1,180,0.000898756457826774
1957,1,1,182,0.000199723657294839
1957,1,1,184,0
1957,1,1,186,0
1957,1,1,188,0
1957,1,1,190,0
1957,1,1,192,0
1957,1,1,194,0
1957,1,1,196,0
1957,1,1,198,0
1957,2,1,10,0
1957,2,1,12,0
1957,2,1,14,0
1957,2,1,16,0
1957,2,1,18,0
1957,2,1,20,0
1957,2,1,22,0
1957,2,1,24,0
1957,2,1,26,0
