year,season,area,ess,age,length
2011,3,1,0.438022423,24,138
2013,4,1,0.438022423,11,100
2013,4,1,0.438022423,12,100
2013,4,1,0.438022423,11,110
2013,4,1,0.438022423,13,110
2014,3,1,0.438022423,9,102
2014,3,1,0.438022423,9,104
2016,4,1,0.438022423,9,104
2019,1,1,0.438022423,8,80
2019,1,1,0.438022423,7,84
2019,1,1,0.438022423,8,84
2019,1,1,0.438022423,14,122
2019,2,1,0.438022423,12,100
2019,2,1,0.438022423,22,126
2019,2,1,0.438022423,13,128
2019,2,1,0.438022423,26,130
2019,4,1,0.438022423,4,62
2019,4,1,0.438022423,5,68
2020,2,1,0.438022423,22,140
2020,3,1,0.438022423,24,130
2020,4,1,0.438022423,5,62
2020,4,1,0.438022423,5,62
2020,4,1,0.438022423,6,62
2020,4,1,0.438022423,6,64
2020,4,1,0.438022423,6,64
2020,4,1,0.438022423,6,64
2020,4,1,0.438022423,6,64
2020,4,1,0.438022423,5,66
2020,4,1,0.438022423,6,66
2020,4,1,0.438022423,5,68
2020,4,1,0.438022423,7,74
2020,4,1,0.438022423,8,78
2020,4,1,0.438022423,9,80
2020,4,1,0.438022423,6,84
2020,4,1,0.438022423,11,120
2020,4,1,0.438022423,14,120
2020,4,1,0.438022423,13,122
2020,4,1,0.438022423,13,124
2021,1,1,0.438022423,23,132
2021,1,1,0.438022423,18,134
2021,2,1,0.438022423,6,60
2021,2,1,0.438022423,10,92
2021,2,1,0.438022423,11,94
2021,2,1,0.438022423,10,110
2021,2,1,0.438022423,14,112
2021,2,1,0.438022423,17,120
2021,2,1,0.438022423,23,132
2021,2,1,0.438022423,18,138
2021,2,1,0.438022423,21,138
2021,2,1,0.438022423,26,144
2021,3,1,0.438022423,5,62
2021,3,1,0.438022423,5,68
2021,3,1,0.438022423,5,68
2021,3,1,0.438022423,10,106
2021,3,1,0.438022423,10,112
2021,3,1,0.438022423,12,118
2021,3,1,0.438022423,11,122
2021,3,1,0.438022423,18,132
2021,4,1,0.438022423,5,60
2021,4,1,0.438022423,6,66
2021,4,1,0.438022423,19,118
2021,4,1,0.438022423,15,126
2021,4,1,0.438022423,20,128
2022,1,1,0.438022423,8,88
2022,1,1,0.438022423,7,90
2022,1,1,0.438022423,7,90
2022,1,1,0.438022423,8,92
2022,1,1,0.438022423,10,92
2022,1,1,0.438022423,10,98
2022,1,1,0.438022423,13,108
2022,1,1,0.438022423,13,120
2022,1,1,0.438022423,14,120
2022,1,1,0.438022423,15,124
2022,1,1,0.438022423,10,126
2022,1,1,0.438022423,14,126
2022,2,1,0.438022423,8,88
2022,2,1,0.438022423,7,94
2022,2,1,0.438022423,8,94
2022,2,1,0.438022423,12,94
2022,2,1,0.438022423,8,96
2022,2,1,0.438022423,9,96
2022,2,1,0.438022423,9,96
2022,2,1,0.438022423,9,96
2022,2,1,0.438022423,10,96
2022,2,1,0.438022423,10,104
2022,2,1,0.438022423,13,116
2023,1,1,0.438022423,11,104
2023,3,1,0.438022423,12,96
2023,3,1,0.438022423,11,100
2023,3,1,0.438022423,12,100
2023,3,1,0.438022423,13,100
2023,3,1,0.438022423,16,100
2023,3,1,0.438022423,8,102
2023,3,1,0.438022423,8,104
2023,3,1,0.438022423,10,104
2023,3,1,0.438022423,24,104
2023,3,1,0.438022423,12,106
2023,3,1,0.438022423,8,108
2023,3,1,0.438022423,15,112
2023,3,1,0.438022423,31,112
2023,3,1,0.438022423,14,114
2023,3,1,0.438022423,14,114
2023,3,1,0.438022423,9,116
2023,3,1,0.438022423,14,118
2023,3,1,0.438022423,10,120
2023,3,1,0.438022423,11,120
2023,3,1,0.438022423,12,120
2023,3,1,0.438022423,7,122
2023,3,1,0.438022423,9,126
2023,3,1,0.438022423,14,128
2023,4,1,0.438022423,9,88
2023,4,1,0.438022423,12,88
2023,4,1,0.438022423,13,94
2023,4,1,0.438022423,8,106
2023,4,1,0.438022423,8,112
2024,2,1,0.438022423,11,102
2024,2,1,0.438022423,13,102
2024,2,1,0.438022423,11,104
2024,2,1,0.438022423,15,110
2006,4,1,0.438022423,12,118
2006,4,1,0.438022423,17,134
2014,2,1,0.438022423,10,86
2014,3,1,0.438022423,8,88
2014,3,1,0.438022423,7,90
2014,3,1,0.438022423,5,92
2014,3,1,0.438022423,8,92
2014,3,1,0.438022423,9,92
2014,3,1,0.438022423,8,98
2014,3,1,0.438022423,12,100
2014,3,1,0.438022423,7,102
2014,3,1,0.438022423,11,106
2014,3,1,0.438022423,8,110
2014,3,1,0.438022423,11,112
2014,3,1,0.438022423,11,114
2014,3,1,0.438022423,12,114
2014,3,1,0.438022423,13,116
2014,3,1,0.438022423,16,120
2014,3,1,0.438022423,14,122
2014,3,1,0.438022423,13,124
2014,3,1,0.438022423,16,130
2015,1,1,0.438022423,10,102
2015,1,1,0.438022423,14,110
2015,1,1,0.438022423,9,112
2015,1,1,0.438022423,13,126
2015,2,1,0.438022423,6,74
2015,2,1,0.438022423,7,76
2015,2,1,0.438022423,6,88
2015,2,1,0.438022423,6,90
2015,2,1,0.438022423,8,90
2015,2,1,0.438022423,9,92
2015,2,1,0.438022423,9,94
2015,2,1,0.438022423,7,96
2015,2,1,0.438022423,7,96
2015,2,1,0.438022423,8,96
2015,2,1,0.438022423,8,100
2015,2,1,0.438022423,10,100
2015,2,1,0.438022423,11,106
2015,2,1,0.438022423,10,108
2015,3,1,0.438022423,8,94
2015,3,1,0.438022423,9,98
2015,3,1,0.438022423,11,100
2015,3,1,0.438022423,7,104
2015,3,1,0.438022423,11,106
2015,3,1,0.438022423,11,108
2015,3,1,0.438022423,11,108
2015,3,1,0.438022423,11,108
2015,3,1,0.438022423,11,108
2015,3,1,0.438022423,11,110
2015,3,1,0.438022423,10,116
2015,3,1,0.438022423,12,116
2016,3,1,0.438022423,10,90
2016,3,1,0.438022423,10,92
2016,3,1,0.438022423,10,96
2016,3,1,0.438022423,11,98
2016,3,1,0.438022423,11,100
2016,3,1,0.438022423,10,102
2016,3,1,0.438022423,10,102
2016,3,1,0.438022423,11,106
2016,3,1,0.438022423,11,108
2016,3,1,0.438022423,11,108
2016,3,1,0.438022423,10,110
2016,3,1,0.438022423,12,110
2016,3,1,0.438022423,12,110
2016,3,1,0.438022423,10,118
2016,4,1,0.438022423,13,114
2016,4,1,0.438022423,18,130
2016,4,1,0.438022423,23,130
2020,4,1,0.438022423,4,62
2020,4,1,0.438022423,4,64
2020,4,1,0.438022423,5,74
2020,4,1,0.438022423,9,92
2020,4,1,0.438022423,14,108
2020,4,1,0.438022423,17,116
2020,4,1,0.438022423,9,118
2020,4,1,0.438022423,9,118
2020,4,1,0.438022423,11,120
2020,4,1,0.438022423,8,122
2020,4,1,0.438022423,14,122
2020,4,1,0.438022423,15,122
2020,4,1,0.438022423,10,124
2020,4,1,0.438022423,31,124
2020,4,1,0.438022423,14,126
2020,4,1,0.438022423,14,128
2020,4,1,0.438022423,12,130
2020,4,1,0.438022423,16,140
2020,4,1,0.438022423,18,142
2020,4,1,0.438022423,22,142
2021,1,1,0.438022423,9,90
2021,1,1,0.438022423,9,92
2021,1,1,0.438022423,9,104
2021,1,1,0.438022423,17,120
2021,1,1,0.438022423,15,128
2021,1,1,0.438022423,15,128
2021,1,1,0.438022423,19,128
2021,1,1,0.438022423,13,130
2021,4,1,0.438022423,6,72
2023,1,1,0.438022423,11,84
2023,1,1,0.438022423,7,118
2023,1,1,0.438022423,21,134
2023,3,1,0.438022423,11,120
2010,1,2,1.78748781,11,102
2010,1,2,1.78748781,12,102
2010,1,2,1.78748781,10,108
2010,1,2,1.78748781,15,110
2010,1,2,1.78748781,10,112
2010,1,2,1.78748781,13,112
2010,1,2,1.78748781,10,116
2010,1,2,1.78748781,13,116
2010,1,2,1.78748781,15,116
2010,1,2,1.78748781,14,118
2010,1,2,1.78748781,13,122
2010,1,2,1.78748781,16,122
2010,1,2,1.78748781,14,124
2010,1,2,1.78748781,17,124
2010,1,2,1.78748781,14,126
2010,1,2,1.78748781,14,126
2010,1,2,1.78748781,18,126
2010,1,2,1.78748781,14,128
2010,1,2,1.78748781,15,128
2010,1,2,1.78748781,18,128
