year,season,area,value
1954,1,1,6138164.055
1954,2,1,10307619.94
1954,3,1,6638331.808
1954,4,1,6889889.607
1955,1,1,5797951.734
1955,2,1,5966728.419
1955,3,1,7161164.021
1955,4,1,8775286.525
1956,1,1,6070287.828
1956,2,1,6584001.618
1956,3,1,8197459.791
1956,4,1,6916730.057
1957,1,1,4482035.529
1957,2,1,6987352.842
1957,3,1,12324655.31
1957,4,1,6642501.826
1958,1,1,2980699.509
1958,2,1,8355143.413
1958,3,1,10512363.21
1958,4,1,10995114.75
1959,1,1,12276505.52
1959,2,1,10819362.09
1959,3,1,14094738.08
1959,4,1,13904745.88
1960,1,1,7999088.482
1960,2,1,6937632.06
1960,3,1,13168181.38
1960,4,1,8831043.266
1961,1,1,7323637.35
1961,2,1,8746416.149
1961,3,1,6470301.826
1961,4,1,8774091.883
1962,1,1,8721761.721
1962,2,1,5713082.942
1962,3,1,10175709.57
1962,4,1,7753249.139
1963,1,1,5884103.322
1963,2,1,3088959.401
1963,3,1,5513917.37
1963,4,1,7041000.366
1964,1,1,6166188.265
1964,2,1,6882559.461
1964,3,1,8575720.654
1964,4,1,9186081.334
1965,1,1,7454736.783
1965,2,1,5130026.645
1965,3,1,9296832.267
1965,4,1,9774748.49
1966,1,1,10066124.29
1966,2,1,7829543.461
1966,3,1,12911077.62
1966,4,1,8419260.93
1967,1,1,5688876.838
1967,2,1,4466278.134
1967,3,1,6981705.811
1967,4,1,7373096.282
1968,1,1,5925591.303
1968,2,1,4687582.438
1968,3,1,4860514.674
1968,4,1,3987664.853
1969,1,1,4851392.437
1969,2,1,4590590.863
1969,3,1,10358354.17
1969,4,1,7686235.854
1970,1,1,9450748.644
1970,2,1,10044337.02
1970,3,1,10803035.21
1970,4,1,11537245.35
1971,1,1,6775223.239
1971,2,1,6544711.568
1971,3,1,6738854.977
1971,4,1,6205261.767
1972,1,1,5233744.541
1972,2,1,5507497.616
1972,3,1,6747279.808
1972,4,1,5343703.691
1973,1,1,3520317.554
1973,2,1,5715809.289
1973,3,1,6193488.669
1973,4,1,8417643.731
1974,1,1,7285324.107
1974,2,1,5310975.42
1974,3,1,5965598.996
1974,4,1,8095170.974
1975,1,1,6346985.144
1975,2,1,5175263.647
1975,3,1,7121609.276
1975,4,1,7295202.936
1976,1,1,7575118.278
1976,2,1,6148905.634
1976,3,1,6408763.469
1976,4,1,6932997.44
1977,1,1,6208442.943
1977,2,1,6164687.639
1977,3,1,7357475.561
1977,4,1,7597916.868
1978,1,1,8013275.339
1978,2,1,9330241.546
1978,3,1,9252744.195
1978,4,1,12567931.08
1979,1,1,9655332.015
1979,2,1,7860891.274
1979,3,1,6785900.282
1979,4,1,8699448.862
1980,1,1,9512749.641
1980,2,1,10416974.98
1980,3,1,8990662.208
1980,4,1,8417398.145
1981,1,1,6102561.309
1981,2,1,6961115.319
1981,3,1,6563432.481
1981,4,1,5898269.208
1982,1,1,5453324.531
1982,2,1,5593930.12
1982,3,1,5893422.292
1982,4,1,8840077.211
1983,1,1,6097859.106
1983,2,1,6963757.88
1983,3,1,8015204.492
1983,4,1,9170362.018
1984,1,1,8500921.918
1984,2,1,4943619.671
1984,3,1,5569697.439
1984,4,1,6035295.392
1985,1,1,5442527.733
1985,2,1,4024046.272
1985,3,1,4829596.235
1985,4,1,4520158.933
1986,1,1,8106251.723
1986,2,1,8535251.712
1986,3,1,7236120.489
1986,4,1,6041073.09
1987,1,1,6039010.886
1987,2,1,7048889.581
1987,3,1,6624613.19
1987,4,1,6457653.277
1988,1,1,6652328.049
1988,2,1,5971449.822
1988,3,1,8766718.561
1988,4,1,7958606.283
1989,1,1,6989201.438
1989,2,1,6740733.913
1989,3,1,6820706.928
1989,4,1,5619490.162
1990,1,1,5621227.901
1990,2,1,6029816.133
1990,3,1,4341281.679
1990,4,1,6383698.312
1991,1,1,5607581.44
1991,2,1,7334667.183
1991,3,1,5436172.582
1991,4,1,3725832.078
1992,1,1,3890841.778
1992,2,1,4368426.75
1992,3,1,7330740.533
1992,4,1,9948179.536
1993,1,1,7244856.279
1993,2,1,6821017.59
1993,3,1,10203298.12
1993,4,1,8674149.924
1994,1,1,6612646.756
1994,2,1,3477911.977
1994,3,1,3181989.969
1994,4,1,8490758.197
1995,1,1,9709547.949
1995,2,1,7671590.092
1995,3,1,5381429.184
1995,4,1,4707271.45
1996,1,1,3653216.115
1996,2,1,4459036.214
1996,3,1,6558256.982
1996,4,1,5678271.657
1997,1,1,6306408.572
1997,2,1,5430323.05
1997,3,1,6730470.373
1997,4,1,4540439.14
1998,1,1,6058976.01
1998,2,1,7675203.78
1998,3,1,7392579.23
1998,4,1,7787558.902
1999,1,1,3401991.975
1999,2,1,2326599.17
1999,3,1,3301870.603
1999,4,1,7697970.222
2000,1,1,7497665.748
2000,2,1,3961088.213
2000,3,1,3471612.588
2000,4,1,5148364.533
2001,1,1,4562304.509
2001,2,1,3884962.914
2001,3,1,2687651.578
2001,4,1,2474653.195
2002,1,1,2742714.482
2002,2,1,2501486.952
2002,3,1,3197945.742
2002,4,1,4320889.217
2003,1,1,5857664.535
2003,2,1,4356491.877
2003,3,1,2550951.856
2003,4,1,3337469.993
2004,1,1,2121076.132
2004,2,1,1611395.987
2004,3,1,3287688.722
2004,4,1,3181067.852
2005,1,1,3590859.22
2005,2,1,2238125.101
2005,3,1,3225056.657
2005,4,1,3081990.399
2006,1,1,4914833.979
2006,2,1,3184267.766
2006,3,1,2884852.965
2006,4,1,2456170.312
2007,1,1,2531010.358
2007,2,1,1164210.075
2007,3,1,1345867.811
2007,4,1,3335836.652
2008,1,1,3618932.521
2008,2,1,2544217.332
2008,3,1,3190087.627
2008,4,1,2997462.161
2009,1,1,3087629.811
2009,2,1,1571498.106
2009,3,1,2538258.681
2009,4,1,2153370.049
2010,1,1,3323101.587
2010,2,1,2390575.936
2010,3,1,2248470.863
2010,4,1,3275020.133
2011,1,1,3962396.302
2011,2,1,3145896.621
2011,3,1,2387027.139
2011,4,1,2506037.853
2012,1,1,3517362.125
2012,2,1,2027524.816
2012,3,1,1151660.894
2012,4,1,2351960.102
2013,1,1,3214699.379
2013,2,1,2531053.144
2013,3,1,1679099.554
2013,4,1,3402502.051
2014,1,1,3462924.052
2014,2,1,2773926.027
2014,3,1,2726358.806
2014,4,1,2346938.89
2015,1,1,4944950.643
2015,2,1,3623249.149
2015,3,1,2781880.525
2015,4,1,4655576.654
2016,1,1,6145752.489
2016,2,1,2977391.573
2016,3,1,4042191.967
2016,4,1,7862989.059
2017,1,1,7057631.44
2017,2,1,4080939.55
2017,3,1,7522402.014
2017,4,1,8141382.52
2018,1,1,7167186.26
2018,2,1,3995124.912
2018,3,1,3378761.368
2018,4,1,5704696.744
2019,1,1,7581722.409
2019,2,1,7185257.547
2019,3,1,7263197.158
2019,4,1,6510122.034
2020,1,1,3892197.099
2020,2,1,4023691.796
2020,3,1,7144323.442
2020,4,1,8205770.474
2021,1,1,8371197.58
2021,2,1,5007089.333
2021,3,1,6245773.336
2021,4,1,6186015.206
2022,1,1,5170542.806
2022,2,1,5073186.915
2022,3,1,5764709.897
2022,4,1,5375885.407
2023,1,1,4932193.018
2023,2,1,3127162.386
2023,3,1,5415001.208
2023,4,1,6633051.213
2024,1,1,12032588.22
2024,2,1,10728550.36
2024,3,1,9585883.544
2024,4,1,9459062.725
1954,1,2,22018392.9
1954,2,2,23215952.11
1954,3,2,17568128.19
1954,4,2,22344474.27
1955,1,2,16086892.43
1955,2,2,25723339.41
1955,3,2,18079845.9
1955,4,2,27962218.77
1956,1,2,21553889.19
1956,2,2,22255044.32
1956,3,2,16189232.69
1956,4,2,23025411.93
1957,1,2,17317554.79
1957,2,2,23106572.73
1957,3,2,19908640.01
1957,4,2,22017481.83
1958,1,2,14556307.99
1958,2,2,20304873.09
1958,3,2,20658602.17
1958,4,2,20062966.16
1959,1,2,15042715.74
1959,2,2,20150887.03
1959,3,2,26809302.07
1959,4,2,24373992.59
1960,1,2,19479309.28
1960,2,2,31524871.98
1960,3,2,14914546.69
1960,4,2,20768670.74
1961,1,2,14396051.75
1961,2,2,22188584.69
1961,3,2,18069643.5
1961,4,2,20383888.7
1962,1,2,18007222.24
1962,2,2,18254089.23
1962,3,2,20531622.39
1962,4,2,23039504.11
1963,1,2,15542452.29
1963,2,2,15851150.8
1963,3,2,15894059.99
1963,4,2,17591230.07
1964,1,2,15041558.45
1964,2,2,20197642.59
1964,3,2,18143147.76
1964,4,2,18073085.24
1965,1,2,12962582.17
1965,2,2,17414586.88
1965,3,2,16732697.51
1965,4,2,21121593.76
1966,1,2,17274043.04
1966,2,2,14749428.96
1966,3,2,22223558.84
1966,4,2,16709357.68
1967,1,2,15470219.06
1967,2,2,12236482.66
1967,3,2,15018956.67
1967,4,2,17476649.98
1968,1,2,14621187.77
1968,2,2,15302829.11
1968,3,2,9787531.038
1968,4,2,10530838.7
1969,1,2,11998574.23
1969,2,2,12426461.44
1969,3,2,16855955.45
1969,4,2,17031448.03
1970,1,2,13758413.82
1970,2,2,17177740.02
1970,3,2,12088893.18
1970,4,2,15960798.27
1971,1,2,15321302.84
1971,2,2,15404515.22
1971,3,2,11344308.92
1971,4,2,18099687.21
1972,1,2,15409350.87
1972,2,2,15074026.34
1972,3,2,12442061.88
1972,4,2,17450775.82
1973,1,2,16020343.25
1973,2,2,14371774.41
1973,3,2,14101481.39
1973,4,2,13693974.39
1974,1,2,14883591.54
1974,2,2,10897428.37
1974,3,2,10631809.63
1974,4,2,12541124.71
1975,1,2,13354534.39
1975,2,2,14193573.86
1975,3,2,12466849.45
1975,4,2,12460345.52
1976,1,2,11843021.83
1976,2,2,14723265.56
1976,3,2,15254664.05
1976,4,2,14143383.71
1977,1,2,12855627.2
1977,2,2,11016975.91
1977,3,2,11076712.33
1977,4,2,13076282.25
1978,1,2,10689511.82
1978,2,2,16164936.17
1978,3,2,13499794.1
1978,4,2,15671831.12
1979,1,2,11643777.42
1979,2,2,13630631.37
1979,3,2,13071231.77
1979,4,2,11827728.71
1980,1,2,13768054.97
1980,2,2,16294915.41
1980,3,2,11657767.42
1980,4,2,14888010.67
1981,1,2,13481792.93
1981,2,2,13026123.69
1981,3,2,9180023.986
1981,4,2,7346160.406
1982,1,2,6475787.093
1982,2,2,8426476.492
1982,3,2,8619168.097
1982,4,2,10667487.49
1983,1,2,8793994.445
1983,2,2,9462966.016
1983,3,2,14219730.18
1983,4,2,17694622.38
1984,1,2,13391217.82
1984,2,2,8642578.221
1984,3,2,7602347.918
1984,4,2,11170372.05
1985,1,2,8558561.644
1985,2,2,9449374.079
1985,3,2,8576251.81
1985,4,2,8220664.862
1986,1,2,9707388.04
1986,2,2,13476382.14
1986,3,2,14936925.03
1986,4,2,12993020.53
1987,1,2,11412899.31
1987,2,2,11696330.48
1987,3,2,14758412.93
1987,4,2,11018064.75
1988,1,2,10750602.08
1988,2,2,9963692.86
1988,3,2,9070007.028
1988,4,2,10490917.3
1989,1,2,8054985.577
1989,2,2,10063689.47
1989,3,2,10903818.65
1989,4,2,6963144.671
1990,1,2,11770769.04
1990,2,2,11422139.7
1990,3,2,7943242.257
1990,4,2,4947063.856
1991,1,2,6243610.589
1991,2,2,9076720.482
1991,3,2,8643203.234
1991,4,2,6268330.334
1992,1,2,4749534.921
1992,2,2,8287098.067
1992,3,2,9783060.15
1992,4,2,6582887.652
1993,1,2,6867418.035
1993,2,2,8843982.374
1993,3,2,13150044.12
1993,4,2,13822180.88
1994,1,2,7990159.628
1994,2,2,5398030.463
1994,3,2,8536498.079
1994,4,2,7262843.507
1995,1,2,8908646.911
1995,2,2,9959562.399
1995,3,2,5037373.351
1995,4,2,5139716.133
1996,1,2,6672722.414
1996,2,2,10212524.11
1996,3,2,13478822.64
1996,4,2,6318264.999
1997,1,2,7286023.679
1997,2,2,13829401.27
1997,3,2,10155593.58
1997,4,2,7600427.389
1998,1,2,6423694.501
1998,2,2,9767758.325
1998,3,2,12048776.37
1998,4,2,7930641.078
1999,1,2,4888924.097
1999,2,2,4874446.438
1999,3,2,4840347.676
1999,4,2,11133979.74
2000,1,2,7955383.702
2000,2,2,6210422.752
2000,3,2,8506986.326
2000,4,2,6591322.847
2001,1,2,7457302.054
2001,2,2,10258049.48
2001,3,2,6406805.55
2001,4,2,6058512.946
2002,1,2,6009348.673
2002,2,2,6952736.528
2002,3,2,6286455.926
2002,4,2,7074442.624
2003,1,2,10656751.3
2003,2,2,8943210.662
2003,3,2,5622726.201
2003,4,2,4802573.185
2004,1,2,5665827.614
2004,2,2,6684500.222
2004,3,2,7736785.403
2004,4,2,6745231.938
2005,1,2,7059183.626
2005,2,2,5423157.074
2005,3,2,6521918.606
2005,4,2,6916153.345
2006,1,2,7301036.962
2006,2,2,6451982.572
2006,3,2,6060063.119
2006,4,2,5352392.394
2007,1,2,5186042.414
2007,2,2,5433531.298
2007,3,2,5902548.98
2007,4,2,8059049.409
2008,1,2,5504928.324
2008,2,2,7035764.347
2008,3,2,5943230.436
2008,4,2,4689517.889
2009,1,2,5487336.871
2009,2,2,6438118.225
2009,3,2,6183815.391
2009,4,2,4178040.37
2010,1,2,5502443.53
2010,2,2,6341881.108
2010,3,2,5997807.455
2010,4,2,6248047.855
2011,1,2,6999029.335
2011,2,2,7433750.989
2011,3,2,6161247.32
2011,4,2,4414127.469
2012,1,2,5325860.976
2012,2,2,6402041.773
2012,3,2,4769224.276
2012,4,2,4614113.622
2013,1,2,5381271.13
2013,2,2,6544361.016
2013,3,2,4489531.133
2013,4,2,4301808.157
2014,1,2,4933561.751
2014,2,2,5407707.129
2014,3,2,6279347.001
2014,4,2,5638753.044
2015,1,2,7255619.727
2015,2,2,7190721.827
2015,3,2,5591850.306
2015,4,2,7261002.757
2016,1,2,8936852.281
2016,2,2,8158623.169
2016,3,2,7727580.066
2016,4,2,9059134.761
2017,1,2,7032086.499
2017,2,2,7129710.627
2017,3,2,9048775.562
2017,4,2,8615515.651
2018,1,2,8749747.301
2018,2,2,7344960.553
2018,3,2,9150583.63
2018,4,2,8558118.304
2019,1,2,10177821.32
2019,2,2,8951786.288
2019,3,2,9041416.29
2019,4,2,9079922.93
2020,1,2,8054622.637
2020,2,2,6350234.803
2020,3,2,6947645.041
2020,4,2,7787054.307
2021,1,2,10875766.21
2021,2,2,7871722.181
2021,3,2,6821508.124
2021,4,2,6928415.676
2022,1,2,6992177.452
2022,2,2,7330508.6
2022,3,2,8654784.06
2022,4,2,6584779.357
2023,1,2,7551768.813
2023,2,2,6615374.626
2023,3,2,7133663.815
2023,4,2,7239567.49
2024,1,2,11937282.73
2024,2,2,9655111.77
2024,3,2,14516521.14
2024,4,2,12584288.75
1954,1,3,6023232.493
1954,2,3,5751355.27
1954,3,3,5107935.796
1954,4,3,6914411.486
1955,1,3,4652156.228
1955,2,3,8000539.946
1955,3,3,4479866.469
1955,4,3,7553308.512
1956,1,3,6027912.784
1956,2,3,6136132.177
1956,3,3,6850081.751
1956,4,3,8104502.945
1957,1,3,7248755.166
1957,2,3,7215483.412
1957,3,3,6655298.56
1957,4,3,6984928.279
1958,1,3,5139165.829
1958,2,3,9131891.397
1958,3,3,6510765.069
1958,4,3,3255806.245
1959,1,3,3100269.682
1959,2,3,3395864.623
1959,3,3,4457647.66
1959,4,3,4385222.408
1960,1,3,5961036.869
1960,2,3,5762557.595
1960,3,3,5811679.191
1960,4,3,5302705.818
1961,1,3,5514348.722
1961,2,3,6245591.804
1961,3,3,5608659.893
1961,4,3,4150147.934
1962,1,3,4224734.783
1962,2,3,4652744.749
1962,3,3,4317640.513
1962,4,3,5251132
1963,1,3,4086724.483
1963,2,3,4335178.805
1963,3,3,4818354.725
1963,4,3,4309893.022
1964,1,3,3856772.88
1964,2,3,8055523.752
1964,3,3,4169700.596
1964,4,3,3868188.775
1965,1,3,4076341.265
1965,2,3,6814182.705
1965,3,3,5980355.909
1965,4,3,3857561.141
1966,1,3,5372208.285
1966,2,3,4986432.566
1966,3,3,3476692.966
1966,4,3,2701462.319
1967,1,3,2432904.033
1967,2,3,3604635.719
1967,3,3,3845036.009
1967,4,3,2835857.274
1968,1,3,2712439.62
1968,2,3,2575378.493
1968,3,3,3994135.766
1968,4,3,2833011.303
1969,1,3,2090226.476
1969,2,3,7160578.194
1969,3,3,3701640.531
1969,4,3,5202522.039
1970,1,3,2456248.795
1970,2,3,5149219.058
1970,3,3,3381540.959
1970,4,3,3074955.496
1971,1,3,3987145.487
1971,2,3,4360710.494
1971,3,3,3566499.428
1971,4,3,4103069.951
1972,1,3,2602195.96
1972,2,3,3694954.303
1972,3,3,2678839.228
1972,4,3,2983292.475
1973,1,3,4373255.701
1973,2,3,4201973.252
1973,3,3,4697613.032
1973,4,3,3340531.766
1974,1,3,2995805.397
1974,2,3,3795187.755
1974,3,3,3272184.899
1974,4,3,2402613.477
1975,1,3,2625477.686
1975,2,3,2137401.921
1975,3,3,2997491.324
1975,4,3,3162453.8
1976,1,3,2698971.776
1976,2,3,2882265.048
1976,3,3,3351082.755
1976,4,3,2537428.231
1977,1,3,2689285.782
1977,2,3,2465667.105
1977,3,3,3608582.981
1977,4,3,3889993.735
1978,1,3,5377545.812
1978,2,3,7010934.71
1978,3,3,7203009.086
1978,4,3,3294466.595
1979,1,3,3058121.5
1979,2,3,3137555.68
1979,3,3,2204748.594
1979,4,3,3688243.703
1980,1,3,3660464.062
1980,2,3,5277130.646
1980,3,3,4084877.734
1980,4,3,3039003.139
1981,1,3,2441388.65
1981,2,3,2740454.029
1981,3,3,3189235.97
1981,4,3,2423838.204
1982,1,3,2651795.401
1982,2,3,2520423.013
1982,3,3,1818682.933
1982,4,3,2228077.234
1983,1,3,2919222.898
1983,2,3,3539099.711
1983,3,3,4058713.026
1983,4,3,3127227.959
1984,1,3,3247544.726
1984,2,3,2099496.51
1984,3,3,2576852.624
1984,4,3,2189950.898
1985,1,3,2842457.26
1985,2,3,4280735.665
1985,3,3,3882372.302
1985,4,3,3044007.057
1986,1,3,2703075.23
1986,2,3,2387391.816
1986,3,3,2280928.938
1986,4,3,2790400.718
1987,1,3,2492461.781
1987,2,3,3210215.084
1987,3,3,4196136.017
1987,4,3,2749156.698
1988,1,3,3120217.874
1988,2,3,1933272.463
1988,3,3,2628006.333
1988,4,3,3989336.4
1989,1,3,2225639.463
1989,2,3,1468274.295
1989,3,3,1269609.266
1989,4,3,1531769.598
1990,1,3,2422593.048
1990,2,3,3203368.67
1990,3,3,1495286.948
1990,4,3,996575.6247
1991,1,3,3124629.295
1991,2,3,2767336.897
1991,3,3,2003073.639
1991,4,3,2015181.744
1992,1,3,1095707.609
1992,2,3,2855261.72
1992,3,3,3670519.873
1992,4,3,3110814.248
1993,1,3,3203650.051
1993,2,3,1888117.508
1993,3,3,1613623.38
1993,4,3,1953985.3
1994,1,3,2274826.687
1994,2,3,1688851.539
1994,3,3,2552298.366
1994,4,3,2031060.415
1995,1,3,2317482.036
1995,2,3,3196118.341
1995,3,3,1149078.905
1995,4,3,1031743.227
1996,1,3,1132856.52
1996,2,3,1679969.937
1996,3,3,3369208.354
1996,4,3,2157537.916
1997,1,3,2220918.236
1997,2,3,2915191.28
1997,3,3,1679675.767
1997,4,3,1091788.282
1998,1,3,1515684.374
1998,2,3,1763810.092
1998,3,3,3890709.715
1998,4,3,2152505.742
1999,1,3,430919.9947
1999,2,3,1214377.806
1999,3,3,1414079.144
1999,4,3,1257367.431
2000,1,3,1316969.166
2000,2,3,1422979.642
2000,3,3,2993906.317
2000,4,3,1067327.726
2001,1,3,1609376.09
2001,2,3,2456302.052
2001,3,3,1653511.242
2001,4,3,1604727.709
2002,1,3,1352644.416
2002,2,3,1344724.33
2002,3,3,1579982.254
2002,4,3,1372615.74
2003,1,3,1759810.001
2003,2,3,1254890.686
2003,3,3,1091062.477
2003,4,3,970577.4182
2004,1,3,1503890.962
2004,2,3,2282428.258
2004,3,3,1618606.85
2004,4,3,1491246.852
2005,1,3,1081984.356
2005,2,3,1355930.585
2005,3,3,1513239.946
2005,4,3,977529.6771
2006,1,3,1289763.239
2006,2,3,1352166.783
2006,3,3,1018825.498
2006,4,3,1066073.169
2007,1,3,1172147.587
2007,2,3,1631302.076
2007,3,3,1441665.103
2007,4,3,1377065.275
2008,1,3,1265184.107
2008,2,3,1053515.757
2008,3,3,2190150.988
2008,4,3,1347986.306
2009,1,3,947555.6358
2009,2,3,1450406.949
2009,3,3,1694979.187
2009,4,3,1141763.057
2010,1,3,548426.1236
2010,2,3,1453737.469
2010,3,3,1962416.699
2010,4,3,1945995.011
2011,1,3,1857295.206
2011,2,3,2188920.945
2011,3,3,1840841.228
2011,4,3,1695437.158
2012,1,3,1155440.209
2012,2,3,1891474.824
2012,3,3,1865430.012
2012,4,3,814834.2257
2013,1,3,915435.2911
2013,2,3,782780.7745
2013,3,3,1366307.236
2013,4,3,2238927.466
2014,1,3,474664.9882
2014,2,3,1251082.047
2014,3,3,1256666.75
2014,4,3,801506.5937
2015,1,3,1177085.351
2015,2,3,1903172.926
2015,3,3,1467188.621
2015,4,3,2465194.764
2016,1,3,1610315.243
2016,2,3,1939010.621
2016,3,3,1536009.571
2016,4,3,1357568.597
2017,1,3,1689680.096
2017,2,3,2394291.223
2017,3,3,1741558.906
2017,4,3,1164272.374
2018,1,3,1589006.5
2018,2,3,2723034.988
2018,3,3,2770801.762
2018,4,3,1942594.828
2019,1,3,2368018.822
2019,2,3,2654968.334
2019,3,3,2157753.122
2019,4,3,2420515.977
2020,1,3,1548362.189
2020,2,3,2150672.142
2020,3,3,1907320.195
2020,4,3,1717949.105
2021,1,3,2226393.209
2021,2,3,3271601.697
2021,3,3,2409559.447
2021,4,3,2074342.187
2022,1,3,3356190.414
2022,2,3,4086183.284
2022,3,3,3435291.718
2022,4,3,2598925.765
2023,1,3,1980879.12
2023,2,3,2036084.374
2023,3,3,1788717.045
2023,4,3,2506276.391
2024,1,3,1736499.832
2024,2,3,1930185.158
2024,3,3,3340136.818
2024,4,3,2414990.202
1954,1,4,36002235.59
1954,2,4,44263666.86
1954,3,4,32497598.87
1954,4,4,28234674.13
1955,1,4,39888308.99
1955,2,4,44729744.96
1955,3,4,31110246.25
1955,4,4,33587687.48
1956,1,4,36404831.99
1956,2,4,47296530.17
1956,3,4,37323718.62
1956,4,4,45157877.38
1957,1,4,35985938.38
1957,2,4,40044536.84
1957,3,4,40208214.89
1957,4,4,33857604.84
1958,1,4,24899383.26
1958,2,4,44535429.01
1958,3,4,38032850.65
1958,4,4,25758673.53
1959,1,4,27616131.4
1959,2,4,35093958.61
1959,3,4,39802022.99
1959,4,4,36791321.46
1960,1,4,37159299.82
1960,2,4,48698129.58
1960,3,4,40015157.7
1960,4,4,24689992.48
1961,1,4,33887820.48
1961,2,4,36000983.32
1961,3,4,35083894.78
1961,4,4,24468265.88
1962,1,4,20528820.84
1962,2,4,25983795.64
1962,3,4,31230295.25
1962,4,4,27373374.37
1963,1,4,21089650.24
1963,2,4,27126937.84
1963,3,4,24003516.83
1963,4,4,22296645.07
1964,1,4,21018536.81
1964,2,4,31072585.06
1964,3,4,27639516.53
1964,4,4,22752205.72
1965,1,4,22155559.5
1965,2,4,30570243.42
1965,3,4,25316274.93
1965,4,4,20136606.66
1966,1,4,27126759.85
1966,2,4,35540650.63
1966,3,4,27340272.14
1966,4,4,20052961.91
1967,1,4,16949396.41
1967,2,4,23452789.18
1967,3,4,19849668.05
1967,4,4,22082836.29
1968,1,4,21251115.94
1968,2,4,26781546.71
1968,3,4,23489373.91
1968,4,4,20883256.25
1969,1,4,19618232.15
1969,2,4,28254304.43
1969,3,4,22782505.6
1969,4,4,24379062.54
1970,1,4,24029110.38
1970,2,4,24991787.19
1970,3,4,20572999.14
1970,4,4,19291823.13
1971,1,4,23980691.62
1971,2,4,27594130.2
1971,3,4,28886757.94
1971,4,4,25290123.01
1972,1,4,27535051.4
1972,2,4,28214528.84
1972,3,4,18663619.19
1972,4,4,16088621.64
1973,1,4,14525659.89
1973,2,4,17182804.8
1973,3,4,19790170.84
1973,4,4,17004305.01
1974,1,4,14008276.67
1974,2,4,15733848.91
1974,3,4,12994835.61
1974,4,4,11988214.14
1975,1,4,11539898.57
1975,2,4,16764586.58
1975,3,4,14903751.35
1975,4,4,12194672.16
1976,1,4,13608534.01
1976,2,4,19091792.53
1976,3,4,16590487.08
1976,4,4,17126781.6
1977,1,4,16626801.84
1977,2,4,18424872.5
1977,3,4,25200841.2
1977,4,4,24000486.92
1978,1,4,22100639.01
1978,2,4,29811259.1
1978,3,4,25153327.57
1978,4,4,21201642.68
1979,1,4,16778151.83
