rel.group,area,year,season,program,length,lendist
1,2,1990,2,RTTP,10,0
1,2,1990,2,RTTP,12,0
1,2,1990,2,RTTP,14,0
1,2,1990,2,RTTP,16,0
1,2,1990,2,RTTP,18,0
1,2,1990,2,RTTP,20,0
1,2,1990,2,RTTP,22,0
1,2,1990,2,RTTP,24,0
1,2,1990,2,RTTP,26,0
1,2,1990,2,RTTP,28,0
1,2,1990,2,RTTP,30,0
1,2,1990,2,RTTP,32,0
1,2,1990,2,RTTP,34,0
1,2,1990,2,RTTP,36,2.62266331660708
1,2,1990,2,RTTP,38,1.57359798996425
1,2,1990,2,RTTP,40,1.04906532664283
1,2,1990,2,RTTP,42,1.04906532664283
1,2,1990,2,RTTP,44,4.19626130657132
1,2,1990,2,RTTP,46,5.76985929653557
1,2,1990,2,RTTP,48,4.19626130657132
1,2,1990,2,RTTP,50,6.29439195985698
1,2,1990,2,RTTP,52,8.91705527646406
1,2,1990,2,RTTP,54,9.96612060310689
1,2,1990,2,RTTP,56,2.62266331660708
1,2,1990,2,RTTP,58,1.04906532664283
1,2,1990,2,RTTP,60,0.524532663321415
1,2,1990,2,RTTP,62,0
1,2,1990,2,RTTP,64,0
1,2,1990,2,RTTP,66,0
1,2,1990,2,RTTP,68,0
1,2,1990,2,RTTP,70,0
1,2,1990,2,RTTP,72,0
1,2,1990,2,RTTP,74,0
1,2,1990,2,RTTP,76,0
1,2,1990,2,RTTP,78,0
1,2,1990,2,RTTP,80,0
1,2,1990,2,RTTP,82,0
1,2,1990,2,RTTP,84,0
1,2,1990,2,RTTP,86,0
1,2,1990,2,RTTP,88,0
1,2,1990,2,RTTP,90,0
1,2,1990,2,RTTP,92,0
1,2,1990,2,RTTP,94,0
1,2,1990,2,RTTP,96,0
1,2,1990,2,RTTP,98,0
1,2,1990,2,RTTP,100,0
1,2,1990,2,RTTP,102,0
1,2,1990,2,RTTP,104,0
1,2,1990,2,RTTP,106,0
1,2,1990,2,RTTP,108,0
1,2,1990,2,RTTP,110,0
1,2,1990,2,RTTP,112,0
1,2,1990,2,RTTP,114,0
1,2,1990,2,RTTP,116,0
1,2,1990,2,RTTP,118,0
1,2,1990,2,RTTP,120,0
1,2,1990,2,RTTP,122,0
1,2,1990,2,RTTP,124,0
1,2,1990,2,RTTP,126,0
1,2,1990,2,RTTP,128,0
1,2,1990,2,RTTP,130,0
1,2,1990,2,RTTP,132,0
1,2,1990,2,RTTP,134,0
1,2,1990,2,RTTP,136,0
1,2,1990,2,RTTP,138,0
1,2,1990,2,RTTP,140,0
1,2,1990,2,RTTP,142,0
1,2,1990,2,RTTP,144,0
1,2,1990,2,RTTP,146,0
1,2,1990,2,RTTP,148,0
1,2,1990,2,RTTP,150,0
1,2,1990,2,RTTP,152,0
1,2,1990,2,RTTP,154,0
1,2,1990,2,RTTP,156,0
1,2,1990,2,RTTP,158,0
1,2,1990,2,RTTP,160,0
1,2,1990,2,RTTP,162,0
1,2,1990,2,RTTP,164,0
1,2,1990,2,RTTP,166,0
1,2,1990,2,RTTP,168,0
1,2,1990,2,RTTP,170,0
1,2,1990,2,RTTP,172,0
1,2,1990,2,RTTP,174,0
1,2,1990,2,RTTP,176,0
1,2,1990,2,RTTP,178,0
1,2,1990,2,RTTP,180,0
1,2,1990,2,RTTP,182,0
1,2,1990,2,RTTP,184,0
1,2,1990,2,RTTP,186,0
1,2,1990,2,RTTP,188,0
1,2,1990,2,RTTP,190,0
1,2,1990,2,RTTP,192,0
1,2,1990,2,RTTP,194,0
1,2,1990,2,RTTP,196,0
1,2,1990,2,RTTP,198,0
2,2,1990,3,RTTP,10,0
2,2,1990,3,RTTP,12,0
2,2,1990,3,RTTP,14,0
2,2,1990,3,RTTP,16,0
2,2,1990,3,RTTP,18,0
2,2,1990,3,RTTP,20,0
2,2,1990,3,RTTP,22,0
2,2,1990,3,RTTP,24,0
2,2,1990,3,RTTP,26,0
2,2,1990,3,RTTP,28,1.43229214647495
2,2,1990,3,RTTP,30,1.43229214647495
2,2,1990,3,RTTP,32,3.34201500844155
2,2,1990,3,RTTP,34,35.3298729463821
2,2,1990,3,RTTP,36,72.0920380392392
2,2,1990,3,RTTP,38,61.1111315829312
2,2,1990,3,RTTP,40,83.5503752110388
2,2,1990,3,RTTP,42,116.970525295454
2,2,1990,3,RTTP,44,143.706645362987
2,2,1990,3,RTTP,46,105.512188123655
2,2,1990,3,RTTP,48,70.6597458927642
2,2,1990,3,RTTP,50,54.4271015660481
2,2,1990,3,RTTP,52,46.7882101181817
2,2,1990,3,RTTP,54,26.7361200675324
2,2,1990,3,RTTP,56,6.20659930139145
2,2,1990,3,RTTP,58,2.8645842929499
2,2,1990,3,RTTP,60,1.9097228619666
2,2,1990,3,RTTP,62,2
2,2,1990,3,RTTP,64,0
2,2,1990,3,RTTP,66,0
2,2,1990,3,RTTP,68,0
2,2,1990,3,RTTP,70,0
2,2,1990,3,RTTP,72,0
2,2,1990,3,RTTP,74,0
2,2,1990,3,RTTP,76,0
2,2,1990,3,RTTP,78,0
2,2,1990,3,RTTP,80,0
2,2,1990,3,RTTP,82,0
2,2,1990,3,RTTP,84,0
2,2,1990,3,RTTP,86,0
2,2,1990,3,RTTP,88,0
2,2,1990,3,RTTP,90,0
2,2,1990,3,RTTP,92,0
2,2,1990,3,RTTP,94,0
2,2,1990,3,RTTP,96,0
2,2,1990,3,RTTP,98,0
2,2,1990,3,RTTP,100,0
2,2,1990,3,RTTP,102,0
2,2,1990,3,RTTP,104,0
2,2,1990,3,RTTP,106,0
2,2,1990,3,RTTP,108,0
2,2,1990,3,RTTP,110,0
2,2,1990,3,RTTP,112,0
2,2,1990,3,RTTP,114,0
2,2,1990,3,RTTP,116,0
2,2,1990,3,RTTP,118,0
2,2,1990,3,RTTP,120,0
2,2,1990,3,RTTP,122,0
2,2,1990,3,RTTP,124,0
2,2,1990,3,RTTP,126,0
2,2,1990,3,RTTP,128,0
2,2,1990,3,RTTP,130,0
2,2,1990,3,RTTP,132,0
2,2,1990,3,RTTP,134,0
2,2,1990,3,RTTP,136,0
2,2,1990,3,RTTP,138,0
2,2,1990,3,RTTP,140,0
2,2,1990,3,RTTP,142,0
2,2,1990,3,RTTP,144,0
2,2,1990,3,RTTP,146,0
2,2,1990,3,RTTP,148,0
2,2,1990,3,RTTP,150,0
2,2,1990,3,RTTP,152,0
2,2,1990,3,RTTP,154,0
2,2,1990,3,RTTP,156,0
2,2,1990,3,RTTP,158,0
2,2,1990,3,RTTP,160,0
2,2,1990,3,RTTP,162,0
2,2,1990,3,RTTP,164,0
2,2,1990,3,RTTP,166,0
2,2,1990,3,RTTP,168,0
2,2,1990,3,RTTP,170,0
2,2,1990,3,RTTP,172,0
2,2,1990,3,RTTP,174,0
2,2,1990,3,RTTP,176,0
2,2,1990,3,RTTP,178,0
2,2,1990,3,RTTP,180,0
2,2,1990,3,RTTP,182,0
2,2,1990,3,RTTP,184,0
2,2,1990,3,RTTP,186,0
2,2,1990,3,RTTP,188,0
2,2,1990,3,RTTP,190,0
2,2,1990,3,RTTP,192,0
2,2,1990,3,RTTP,194,0
2,2,1990,3,RTTP,196,0
2,2,1990,3,RTTP,198,0
3,2,1991,1,RTTP,10,0
3,2,1991,1,RTTP,12,0
3,2,1991,1,RTTP,14,0
3,2,1991,1,RTTP,16,0
3,2,1991,1,RTTP,18,0
3,2,1991,1,RTTP,20,0.600785784397261
3,2,1991,1,RTTP,22,3.0039289219863
