year,season,area,sb
1952,1,1,1225400
1953,1,1,1275400
1954,1,1,1264100
1955,1,1,1235000
1956,1,1,1174100
1957,1,1,1196200
1958,1,1,1204700
1959,1,1,1187500
1960,1,1,1223100
1961,1,1,1215100
1962,1,1,1113600
1963,1,1,996940
1964,1,1,927570
1965,1,1,891070
1966,1,1,918450
1967,1,1,885520
1968,1,1,832120
1969,1,1,773090
1970,1,1,782600
1971,1,1,801230
1972,1,1,832240
1973,1,1,790360
1974,1,1,743980
1975,1,1,738370
1976,1,1,705160
1977,1,1,675560
1978,1,1,694900
1979,1,1,741490
1980,1,1,728800
1981,1,1,687740
1982,1,1,651860
1983,1,1,642730
1984,1,1,643280
1985,1,1,637920
1986,1,1,619010
1987,1,1,668870
1988,1,1,689930
1989,1,1,682140
1990,1,1,667860
1991,1,1,635370
1992,1,1,611020
1993,1,1,551700
1994,1,1,497160
1995,1,1,463810
1996,1,1,451660
1997,1,1,462990
1998,1,1,452960
1999,1,1,411520
2000,1,1,362840
2001,1,1,325230
2002,1,1,304800
2003,1,1,286130
2004,1,1,267020
2005,1,1,254530
2006,1,1,246260
2007,1,1,234250
2008,1,1,236190
2009,1,1,244330
2010,1,1,256380
2011,1,1,258460
2012,1,1,249480
2013,1,1,241600
2014,1,1,254440
2015,1,1,277580
2016,1,1,296720
2017,1,1,298770
2018,1,1,292390
2019,1,1,292210
2020,1,1,312260
2021,1,1,344040
2022,1,1,354820
2023,1,1,382990
2024,1,1,370940
1952,2,1,1167400
1953,2,1,1170500
1954,2,1,1157600
1955,2,1,1121700
1956,2,1,1078500
1957,2,1,1105000
1958,2,1,1104100
1959,2,1,1094400
1960,2,1,1128100
1961,2,1,1101700
1962,2,1,998710
1963,2,1,902110
1964,2,1,846070
1965,2,1,824920
1966,2,1,848670
1967,2,1,807190
1968,2,1,758190
1969,2,1,714290
1970,2,1,731110
1971,2,1,752690
1972,2,1,773860
1973,2,1,725090
1974,2,1,691280
1975,2,1,684420
1976,2,1,647630
1977,2,1,628800
1978,2,1,654940
1979,2,1,691540
1980,2,1,669690
1981,2,1,632700
1982,2,1,603660
1983,2,1,599810
1984,2,1,601630
1985,2,1,591970
1986,2,1,586690
1987,2,1,636050
1988,2,1,646940
1989,2,1,641060
1990,2,1,625160
1991,2,1,597320
1992,2,1,571400
1993,2,1,513240
1994,2,1,467200
1995,2,1,439290
1996,2,1,435080
1997,2,1,442780
1998,2,1,426330
1999,2,1,383110
2000,2,1,335900
2001,2,1,303710
2002,2,1,284770
2003,2,1,264810
2004,2,1,248030
2005,2,1,237050
2006,2,1,227500
2007,2,1,218750
2008,2,1,222080
2009,2,1,231290
2010,2,1,241940
2011,2,1,241130
2012,2,1,232700
2013,2,1,228650
2014,2,1,244110
2015,2,1,266060
2016,2,1,282170
2017,2,1,279880
2018,2,1,274830
2019,2,1,278210
2020,2,1,303900
2021,2,1,326330
2022,2,1,343800
2023,2,1,366400
2024,2,1,340290
1952,3,1,1022900
1953,3,1,1022800
1954,3,1,1008800
1955,3,1,969700
1956,3,1,949010
1957,3,1,971640
1958,3,1,964650
1959,3,1,966580
1960,3,1,990470
1961,3,1,951150
1962,3,1,858490
1963,3,1,782870
1964,3,1,738220
1965,3,1,734100
1966,3,1,744650
1967,3,1,705240
1968,3,1,660280
1969,3,1,636990
1970,3,1,653780
1971,3,1,678210
1972,3,1,684000
1973,3,1,637280
1974,3,1,614090
1975,3,1,602890
1976,3,1,568720
1977,3,1,559740
1978,3,1,589300
1979,3,1,608690
1980,3,1,583320
1981,3,1,553690
1982,3,1,535750
1983,3,1,534850
1984,3,1,537090
1985,3,1,519890
1986,3,1,533720
1987,3,1,573830
1988,3,1,578770
1989,3,1,574870
1990,3,1,559390
1991,3,1,538640
1992,3,1,509170
1993,3,1,459520
1994,3,1,422960
1995,3,1,399490
1996,3,1,402120
1997,3,1,403830
1998,3,1,381880
1999,3,1,338480
2000,3,1,296570
2001,3,1,270450
2002,3,1,252560
2003,3,1,233160
2004,3,1,217640
2005,3,1,209280
2006,3,1,199070
2007,3,1,194720
2008,3,1,198140
2009,3,1,207390
2010,3,1,215660
2011,3,1,213580
2012,3,1,206910
2013,3,1,206320
2014,3,1,223410
2015,3,1,242710
2016,3,1,254030
2017,3,1,251840
2018,3,1,246230
2019,3,1,254110
2020,3,1,282750
2021,3,1,299120
2022,3,1,318640
2023,3,1,330890
2024,3,1,299170
1952,4,1,975350
1953,4,1,972520
1954,4,1,956480
1955,4,1,914050
1956,4,1,910670
1957,4,1,928230
1958,4,1,918070
1959,4,1,929820
1960,4,1,944410
1961,4,1,893070
1962,4,1,804580
1963,4,1,740940
1964,4,1,704020
1965,4,1,713050
1966,4,1,709630
1967,4,1,672590
1968,4,1,627980
1969,4,1,622090
1970,4,1,637960
1971,4,1,665700
1972,4,1,652860
1973,4,1,609310
1974,4,1,595610
1975,4,1,577330
1976,4,1,544840
1977,4,1,544600
1978,4,1,577190
1979,4,1,583020
1980,4,1,557190
1981,4,1,529580
1982,4,1,518300
1983,4,1,517680
1984,4,1,517230
1985,4,1,498680
1986,4,1,530150
1987,4,1,563620
1988,4,1,566550
1989,4,1,562140
1990,4,1,544560
1991,4,1,530690
1992,4,1,493990
1993,4,1,449130
1994,4,1,416970
1995,4,1,396680
1996,4,1,401880
1997,4,1,398890
1998,4,1,371900
1999,4,1,326030
2000,4,1,286300
2001,4,1,262520
2002,4,1,243950
2003,4,1,223580
2004,4,1,209300
2005,4,1,202020
2006,4,1,190540
2007,4,1,188570
2008,4,1,192310
2009,4,1,202820
2010,4,1,209300
2011,4,1,204520
2012,4,1,198590
2013,4,1,203210
2014,4,1,222220
2015,4,1,240500
2016,4,1,245900
2017,4,1,245900
2018,4,1,241620
2019,4,1,255280
2020,4,1,285300
2021,4,1,298400
2022,4,1,322260
2023,4,1,324100
2024,4,1,289040
1952,1,2,3469800
1953,1,2,3702000
1954,1,2,3668100
1955,1,2,3451400
1956,1,2,3225800
1957,1,2,3424100
1958,1,2,3409200
1959,1,2,3533000
1960,1,2,3926800
1961,1,2,3674800
1962,1,2,3062800
1963,1,2,2692500
1964,1,2,2551200
1965,1,2,2567500
1966,1,2,2810700
1967,1,2,2494300
1968,1,2,2248900
1969,1,2,1993900
1970,1,2,2120700
1971,1,2,2136500
1972,1,2,2181900
1973,1,2,1898600
1974,1,2,1821900
1975,1,2,1922000
1976,1,2,1773900
1977,1,2,1752000
1978,1,2,1886000
1979,1,2,1922200
1980,1,2,1659500
1981,1,2,1418200
1982,1,2,1268800
1983,1,2,1267400
1984,1,2,1314900
1985,1,2,1328800
1986,1,2,1365600
1987,1,2,1575600
1988,1,2,1538800
1989,1,2,1421900
1990,1,2,1276800
1991,1,2,1101900
1992,1,2,943630
1993,1,2,744780
1994,1,2,649110
1995,1,2,637820
1996,1,2,679360
1997,1,2,716370
1998,1,2,705820
1999,1,2,653930
2000,1,2,627640
2001,1,2,655130
2002,1,2,683600
2003,1,2,682480
2004,1,2,678630
2005,1,2,673230
2006,1,2,668970
2007,1,2,638450
2008,1,2,663400
2009,1,2,675500
2010,1,2,637600
2011,1,2,580020
2012,1,2,532950
2013,1,2,537460
2014,1,2,590210
2015,1,2,626920
2016,1,2,664830
2017,1,2,650860
2018,1,2,609420
2019,1,2,550090
2020,1,2,566940
2021,1,2,549250
2022,1,2,464020
2023,1,2,447490
2024,1,2,415560
1952,2,2,3632600
1953,2,2,3648200
1954,2,2,3594700
1955,2,2,3306200
1956,2,2,3242000
1957,2,2,3400200
1958,2,2,3364300
1959,2,2,3623500
1960,2,2,3883900
1961,2,2,3482200
1962,2,2,2909600
1963,2,2,2618700
1964,2,2,2501100
1965,2,2,2612000
1966,2,2,2732500
1967,2,2,2390600
1968,2,2,2144600
1969,2,2,1976000
1970,2,2,2107900
