year,season,fishery,area,catch
1952,1,1,1,429.163
1953,1,1,1,650.392
1954,1,1,1,901.979
1955,1,1,1,889.584
1956,1,1,1,1195.52
1957,1,1,1,976.733
1958,1,1,1,582.482
1959,1,1,1,2299.46
1960,1,1,1,2360.74
1961,1,1,1,1027.16
1962,1,1,1,2826.37
1963,1,1,1,1196.2
1964,1,1,1,734.105
1965,1,1,1,877.169
1966,1,1,1,941.976
1967,1,1,1,1182.44
1968,1,1,1,999.475
1969,1,1,1,879.8
1970,1,1,1,2523.44
1971,1,1,1,1073.58
1972,1,1,1,1138.5
1973,1,1,1,678.366
1974,1,1,1,1643.41
1975,1,1,1,2094.53
1976,1,1,1,2108.05
1977,1,1,1,2459.82
1978,1,1,1,3914.68
1979,1,1,1,3049.83
1980,1,1,1,3146.59
1981,1,1,1,2103.26
1982,1,1,1,1850.54
1983,1,1,1,2798.17
1984,1,1,1,2650.74
1985,1,1,1,1794.94
1986,1,1,1,2704.86
1987,1,1,1,1943.38
1988,1,1,1,2365.98
1989,1,1,1,2235.3
1990,1,1,1,1621.54
1991,1,1,1,2504.9
1992,1,1,1,2726.34
1993,1,1,1,2544.82
1994,1,1,1,1205.6
1995,1,1,1,1876.72
1996,1,1,1,690.248
1997,1,1,1,1226.12
1998,1,1,1,1728.4
1999,1,1,1,996.434
2000,1,1,1,2259.15
2001,1,1,1,1273.28
2002,1,1,1,672.578
2003,1,1,1,1531.95
2004,1,1,1,866.247
2005,1,1,1,864.067
2006,1,1,1,1842.75
2007,1,1,1,904.723
2008,1,1,1,1135.06
2009,1,1,1,1793.44
2010,1,1,1,1373.64
2011,1,1,1,1522.43
2012,1,1,1,1354.36
2013,1,1,1,1184.6
2014,1,1,1,805.719
2015,1,1,1,1938.74
2016,1,1,1,1441.92
2017,1,1,1,1519.79
2018,1,1,1,1594.9
2019,1,1,1,2549.84
2020,1,1,1,1073.99
2021,1,1,1,2482.7
2022,1,1,1,832.996
2023,1,1,1,1283.52
2024,1,1,1,3128.95
1952,1,2,1,209.273
1953,1,2,1,510.382
1954,1,2,1,65.6516
1955,1,2,1,122.083
1956,1,2,1,192.692
1957,1,2,1,276.414
1958,1,2,1,224.364
1959,1,2,1,2373.61
1960,1,2,1,1288.03
1961,1,2,1,1672.36
1962,1,2,1,2023.07
1963,1,2,1,1236.66
1964,1,2,1,703.653
1965,1,2,1,1106.99
1966,1,2,1,569.53
1967,1,2,1,1018.47
1968,1,2,1,559.063
1969,1,2,1,596.762
1970,1,2,1,2019.28
1971,1,2,1,1508.65
1972,1,2,1,608.526
1973,1,2,1,650.087
1974,1,2,1,1625.7
1975,1,2,1,782.868
1976,1,2,1,1131.93
1977,1,2,1,810.838
1978,1,2,1,1139.05
1979,1,2,1,1866.26
1980,1,2,1,1937.1
1981,1,2,1,1192.88
1982,1,2,1,1347.31
1983,1,2,1,667.593
1984,1,2,1,1031.28
1985,1,2,1,714.936
1986,1,2,1,1342.85
1987,1,2,1,1179.08
1988,1,2,1,2570.98
1989,1,2,1,1631.21
1990,1,2,1,1278.28
1991,1,2,1,1710.56
1992,1,2,1,537.888
1993,1,2,1,2191.32
1994,1,2,1,1133.32
1995,1,2,1,1916.73
1996,1,2,1,707.661
1997,1,2,1,873.498
1998,1,2,1,229.315
1999,1,2,1,470.293
2000,1,2,1,584.118
2001,1,2,1,284.139
2002,1,2,1,274.164
2003,1,2,1,1058.83
2004,1,2,1,426.021
2005,1,2,1,920.977
2006,1,2,1,739.309
2007,1,2,1,190.587
2008,1,2,1,758.51
2009,1,2,1,235.89
2010,1,2,1,52.2249
2011,1,2,1,416.58
2012,1,2,1,546.351
2013,1,2,1,526.704
2014,1,2,1,267.277
2015,1,2,1,424.649
2016,1,2,1,644.375
2017,1,2,1,2926.23
2018,1,2,1,2063.76
2019,1,2,1,2343
2020,1,2,1,1309.47
2021,1,2,1,3517.61
2022,1,2,1,1637.66
2023,1,2,1,991.122
2024,1,2,1,6957.71
1952,1,3,1,0
1953,1,3,1,0
1954,1,3,1,0
1955,1,3,1,0
1956,1,3,1,0
1957,1,3,1,0
1958,1,3,1,0
1959,1,3,1,0
1960,1,3,1,0
1961,1,3,1,0
1962,1,3,1,0
1963,1,3,1,0
1964,1,3,1,0
1965,1,3,1,0
1966,1,3,1,0
1967,1,3,1,0
1968,1,3,1,0
1969,1,3,1,0
1970,1,3,1,0
1971,1,3,1,0
1972,1,3,1,0
1973,1,3,1,0
1974,1,3,1,0
1975,1,3,1,0
1976,1,3,1,0
1977,1,3,1,0
1978,1,3,1,0
1979,1,3,1,0
1980,1,3,1,0
1981,1,3,1,0
1982,1,3,1,0
1983,1,3,1,0
1984,1,3,1,0
1985,1,3,1,0
1986,1,3,1,0
1987,1,3,1,0
1988,1,3,1,0
1989,1,3,1,0
1990,1,3,1,0
1991,1,3,1,118.927
1992,1,3,1,102.612
1993,1,3,1,202.848
1994,1,3,1,163.232
1995,1,3,1,244.098
1996,1,3,1,222.44
1997,1,3,1,252.417
1998,1,3,1,101.845
1999,1,3,1,159.91
2000,1,3,1,122.361
2001,1,3,1,170.45
2002,1,3,1,55.1943
2003,1,3,1,473.599
2004,1,3,1,98.9672
2005,1,3,1,434.64
2006,1,3,1,279.408
2007,1,3,1,118.537
2008,1,3,1,564.485
2009,1,3,1,109.735
2010,1,3,1,114.007
2011,1,3,1,364.302
2012,1,3,1,271
2013,1,3,1,234.077
2014,1,3,1,224.255
2015,1,3,1,222.716
2016,1,3,1,310.03
2017,1,3,1,619.196
2018,1,3,1,538.749
2019,1,3,1,364.97
2020,1,3,1,300.165
2021,1,3,1,552.388
2022,1,3,1,539.359
2023,1,3,1,519.282
2024,1,3,1,1002.94
1952,1,4,2,2856.53
1953,1,4,2,490.238
1954,1,4,2,1233.52
1955,1,4,2,803.795
1956,1,4,2,908.986
1957,1,4,2,598.827
1958,1,4,2,822.972
1959,1,4,2,1836.39
1960,1,4,2,2764.21
1961,1,4,2,2073.73
1962,1,4,2,3774.26
1963,1,4,2,1358.22
1964,1,4,2,1836.26
1965,1,4,2,1226.47
1966,1,4,2,2005.23
1967,1,4,2,1648.34
1968,1,4,2,2671.03
1969,1,4,2,1597.34
1970,1,4,2,1011.81
1971,1,4,2,1314.26
1972,1,4,2,945.637
1973,1,4,2,3751.03
1974,1,4,2,5735.75
1975,1,4,2,2562.05
1976,1,4,2,3292.21
1977,1,4,2,2839.57
1978,1,4,2,2963.17
1979,1,4,2,2708.52
1980,1,4,2,2521.91
1981,1,4,2,4179.78
1982,1,4,2,846.763
1983,1,4,2,887.69
1984,1,4,2,1206.92
1985,1,4,2,693.206
1986,1,4,2,713.451
1987,1,4,2,629.763
1988,1,4,2,728.729
1989,1,4,2,777.469
1990,1,4,2,1152.54
1991,1,4,2,935.469
1992,1,4,2,1089.94
1993,1,4,2,837.227
1994,1,4,2,1279.09
1995,1,4,2,1215.07
1996,1,4,2,508.464
1997,1,4,2,319.783
1998,1,4,2,185.437
1999,1,4,2,147.076
2000,1,4,2,372.299
2001,1,4,2,694.648
2002,1,4,2,392.034
2003,1,4,2,455.248
2004,1,4,2,275.631
2005,1,4,2,241.705
2006,1,4,2,287.1
2007,1,4,2,258.771
2008,1,4,2,206.915
2009,1,4,2,356.202
2010,1,4,2,272.326
2011,1,4,2,307.146
2012,1,4,2,214.438
2013,1,4,2,94.8857
2014,1,4,2,131.193
2015,1,4,2,301.753
2016,1,4,2,332.284
2017,1,4,2,336.402
2018,1,4,2,389.044
2019,1,4,2,300.413
2020,1,4,2,51.3979
2021,1,4,2,241.872
2022,1,4,2,199.477
2023,1,4,2,195.628
2024,1,4,2,185.22
1952,1,5,2,0
1953,1,5,2,0
1954,1,5,2,0
1955,1,5,2,0
1956,1,5,2,0
1957,1,5,2,0
1958,1,5,2,961.335
1959,1,5,2,770.392
1960,1,5,2,763.817
1961,1,5,2,870.806
1962,1,5,2,874.249
1963,1,5,2,523.029
1964,1,5,2,990.124
1965,1,5,2,1114.26
1966,1,5,2,1340.63
1967,1,5,2,1104.3
1968,1,5,2,1599.25
1969,1,5,2,1332.04
1970,1,5,2,1789.15
1971,1,5,2,1389.83
1972,1,5,2,1112.4
1973,1,5,2,1842.8
1974,1,5,2,2101.05
1975,1,5,2,3804.11
1976,1,5,2,3842.56
1977,1,5,2,5057.29
1978,1,5,2,7271.5
1979,1,5,2,9485.71
1980,1,5,2,8098.09
1981,1,5,2,10266.5
1982,1,5,2,6842.85
1983,1,5,2,7468.51
1984,1,5,2,6902.9
1985,1,5,2,6407.12
1986,1,5,2,6361.96
1987,1,5,2,7727.34
1988,1,5,2,7917.25
1989,1,5,2,7679.75
1990,1,5,2,6937.18
1991,1,5,2,6889.63
1992,1,5,2,7905.3
1993,1,5,2,6149
1994,1,5,2,6167.25
1995,1,5,2,6824.46
1996,1,5,2,8733.75
1997,1,5,2,6736.6
1998,1,5,2,8760.22
1999,1,5,2,8098.79
2000,1,5,2,12564.3
2001,1,5,2,14081.3
2002,1,5,2,14523.5
2003,1,5,2,14293.8
2004,1,5,2,14072
2005,1,5,2,11614.6
2006,1,5,2,13115
2007,1,5,2,12661
2008,1,5,2,13972.2
2009,1,5,2,15949.5
2010,1,5,2,14883
2011,1,5,2,17301.6
2012,1,5,2,15039
2013,1,5,2,18893.6
2014,1,5,2,18349.1
2015,1,5,2,18434.3
2016,1,5,2,12874.3
2017,1,5,2,11593.3
2018,1,5,2,18075.2
2019,1,5,2,15388.9
2020,1,5,2,11345.7
2021,1,5,2,11879.5
2022,1,5,2,23199.3
2023,1,5,2,13727.4
2024,1,5,2,1647.2
1952,1,6,3,274.54
1953,1,6,3,2330
1954,1,6,3,1865.13
1955,1,6,3,638.235
1956,1,6,3,2283.52
1957,1,6,3,2593.6
1958,1,6,3,2855.87
1959,1,6,3,138.521
1960,1,6,3,2150.75
1961,1,6,3,1793.41
1962,1,6,3,4289.47
1963,1,6,3,1132.72
1964,1,6,3,1069.07
1965,1,6,3,298.521
1966,1,6,3,860.73
1967,1,6,3,1011.43
1968,1,6,3,1490.08
1969,1,6,3,260.043
1970,1,6,3,39.9462
1971,1,6,3,259.557
1972,1,6,3,101.046
1973,1,6,3,2019.04
1974,1,6,3,335.607
1975,1,6,3,110.575
1976,1,6,3,1131.85
1977,1,6,3,938.665
1978,1,6,3,1184.3
1979,1,6,3,670.315
1980,1,6,3,2576.84
1981,1,6,3,2460.96
1982,1,6,3,1825.14
1983,1,6,3,1745.8
1984,1,6,3,1459.38
1985,1,6,3,1007.57
1986,1,6,3,925.81
1987,1,6,3,205.787
1988,1,6,3,424.191
1989,1,6,3,200.918
1990,1,6,3,17.4224
1991,1,6,3,366.601
1992,1,6,3,35.8269
1993,1,6,3,0.0547801
1994,1,6,3,35.4062
1995,1,6,3,708.524
1996,1,6,3,74.1526
1997,1,6,3,159.178
1998,1,6,3,216.327
1999,1,6,3,107.337
2000,1,6,3,134.42
2001,1,6,3,129.178
2002,1,6,3,457.007
2003,1,6,3,534.853
2004,1,6,3,361.543
2005,1,6,3,307.317
2006,1,6,3,525.112
2007,1,6,3,443.266
2008,1,6,3,406.075
2009,1,6,3,579.333
2010,1,6,3,533.545
2011,1,6,3,1259.89
2012,1,6,3,662.811
2013,1,6,3,388.688
2014,1,6,3,584.399
2015,1,6,3,259.595
2016,1,6,3,942.364
2017,1,6,3,552.744
2018,1,6,3,558.008
2019,1,6,3,936.013
2020,1,6,3,368.24
2021,1,6,3,538.123
2022,1,6,3,1388.93
2023,1,6,3,1315.17
2024,1,6,3,649.117
1952,1,7,4,1601.44
1953,1,7,4,1469.1
1954,1,7,4,779.778
1955,1,7,4,2317.97
1956,1,7,4,3126.03
1957,1,7,4,5010.31
1958,1,7,4,3130.98
1959,1,7,4,4382.53
1960,1,7,4,8074.8
1961,1,7,4,5345.35
1962,1,7,4,3659.02
1963,1,7,4,3741.83
1964,1,7,4,5475.76
1965,1,7,4,3283.39
1966,1,7,4,5415.38
1967,1,7,4,2705.31
