year,season,fishery,area,obs,pred
1952,1,32,1,2.31613535166486,2.11277024775823
1952,2,32,1,0.95873554819969,1.79750573293216
1952,3,32,1,1.62255164565226,1.65417103806393
1952,4,32,1,2.5787376596707,2.33730837450765
1953,1,32,1,1.49600766020939,2.08652499422998
1953,2,32,1,1.74630128534073,1.7666763270208
1953,3,32,1,1.31863881000578,1.61526656696743
1953,4,32,1,1.82157224673754,2.28279370021024
1954,1,32,1,1.77109854330547,2.04214351732903
1954,2,32,1,1.79966403453364,1.71635009787972
1954,3,32,1,1.2134893865515,1.55706089102028
1954,4,32,1,2.53780618213737,2.12718604360002
1955,1,32,1,1.25696489297287,1.8470688921368
1955,2,32,1,1.23035162190704,1.52928453216922
1955,3,32,1,0.786470551225849,1.42375820683294
1955,4,32,1,2.55231298247938,2.06679686377621
1956,1,32,1,2.30343157464161,1.94565756572794
1956,2,32,1,0.828780446747526,1.73048203041991
1956,3,32,1,0.97915042164097,1.64378251872006
1956,4,32,1,1.53050844929653,2.31544061527503
1957,1,32,1,1.00242493541138,2.06060576447715
1957,2,32,1,1.0925888806888,1.74385817411815
1957,3,32,1,1.36738478571188,1.61026699395183
1957,4,32,1,1.44008191876342,2.17472017262641
1958,1,32,1,0.749911559553721,1.93808427873038
1958,2,32,1,1.46711809948453,1.65202201288346
1958,3,32,1,1.44166688044317,1.57082349349761
1958,4,32,1,2.915379499977,2.19416156804315
1959,1,32,1,3.02224520339094,2.05648867141363
1959,2,32,1,2.23356731466165,1.82649713741427
1959,3,32,1,3.06792059043433,1.72823386540424
1959,4,32,1,3.47640947118253,2.37928494675128
1960,1,32,1,2.1079164601838,2.10118190854066
1960,2,32,1,1.72598862110421,1.76844388698051
1960,3,32,1,2.79267522939589,1.60656763575847
1960,4,32,1,2.13080533540053,2.09300325783267
1961,1,32,1,1.56533522134924,1.80020401473698
1961,2,32,1,1.85558498102838,1.48408734376843
1961,3,32,1,1.19458638006547,1.34823994851661
1961,4,32,1,2.17972778557081,1.74019991446954
1962,1,32,1,2.40463950896379,1.54141372721191
1962,2,32,1,1.17480244318437,1.31166851191898
1962,3,32,1,2.04193931318767,1.22348090877658
1962,4,32,1,2.07777996666728,1.63035861528914
1963,1,32,1,1.29965650158147,1.47005527187683
1963,2,32,1,0.556771698554089,1.28017911277827
1963,3,32,1,0.970028331673914,1.20767859455356
1963,4,32,1,1.60383879095296,1.63133712398157
1964,1,32,1,1.44296496468585,1.46038485456317
1964,2,32,1,1.43591173089402,1.27112203176241
1964,3,32,1,1.7501473773184,1.21421769865521
1964,4,32,1,2.56203022287648,1.73030899086899
1965,1,32,1,1.90522478691885,1.58962795772456
1965,2,32,1,1.08814019953635,1.45281056354349
1965,3,32,1,1.70693608460902,1.40846435366223
1965,4,32,1,2.34949403330963,1.8843821588797
1966,1,32,1,2.41041757469071,1.61075014651928
1966,2,32,1,1.80236555622017,1.32949610230932
1966,3,32,1,2.23736760843104,1.20562728504992
1966,4,32,1,2.00050570280317,1.58772154824975
1967,1,32,1,1.36779506268606,1.39041185247501
1967,2,32,1,0.799155287327728,1.21969399071506
1967,3,32,1,0.998958542693488,1.16276408200859
1967,4,32,1,1.67347114631526,1.51043849090614
