year,season,f
1952,1,0.0003169
1953,1,0.0004061
1954,1,0.0004657
1955,1,0.00042
1956,1,0.0005058
1957,1,0.0006761
1958,1,0.0006144
1959,1,0.0009476
1960,1,0.001149
1961,1,0.001089
1962,1,0.001602
1963,1,0.001001
1964,1,0.001218
1965,1,0.001033
1966,1,0.001319
1967,1,0.001157
1968,1,0.001453
1969,1,0.001396
1970,1,0.002584
1971,1,0.00233
1972,1,0.002974
1973,1,0.00306
1974,1,0.003453
1975,1,0.003685
1976,1,0.003575
1977,1,0.004544
1978,1,0.004619
1979,1,0.005521
1980,1,0.00625
1981,1,0.006143
1982,1,0.00744
1983,1,0.008269
1984,1,0.008811
1985,1,0.008521
1986,1,0.009107
1987,1,0.009359
1988,1,0.009985
1989,1,0.01096
1990,1,0.01371
1991,1,0.02062
1992,1,0.02079
1993,1,0.02087
1994,1,0.02074
1995,1,0.02536
1996,1,0.02568
1997,1,0.0245
1998,1,0.03362
1999,1,0.0261
2000,1,0.03163
2001,1,0.02882
2002,1,0.03437
2003,1,0.04466
2004,1,0.03693
2005,1,0.03157
2006,1,0.03514
2007,1,0.03865
2008,1,0.03513
2009,1,0.03291
2010,1,0.03701
2011,1,0.03584
2012,1,0.04586
2013,1,0.04226
2014,1,0.03981
2015,1,0.03646
2016,1,0.03605
2017,1,0.04436
2018,1,0.04458
2019,1,0.04848
2020,1,0.04514
2021,1,0.04256
2022,1,0.04021
2023,1,0.0363
2024,1,0.04052
1952,2,0.0003822
1953,2,0.0004869
1954,2,0.0005757
1955,2,0.0006868
1956,2,0.000553
1957,2,0.0005751
1958,2,0.00104
1959,2,0.001017
1960,2,0.001439
1961,2,0.00143
1962,2,0.0013
1963,2,0.001191
1964,2,0.001215
1965,2,0.001394
1966,2,0.002462
1967,2,0.001443
1968,2,0.002107
1969,2,0.002029
1970,2,0.002576
1971,2,0.002673
1972,2,0.003049
1973,2,0.00348
1974,2,0.003808
1975,2,0.003892
1976,2,0.004488
1977,2,0.005203
1978,2,0.005519
1979,2,0.006716
1980,2,0.007431
1981,2,0.008649
1982,2,0.007737
1983,2,0.008657
1984,2,0.008462
1985,2,0.01
1986,2,0.008322
1987,2,0.01023
1988,2,0.01079
1989,2,0.01349
1990,2,0.01805
1991,2,0.023
1992,2,0.02553
1993,2,0.02437
1994,2,0.02636
1995,2,0.02298
1996,2,0.02184
1997,2,0.0261
1998,2,0.03234
1999,2,0.03206
2000,2,0.03417
2001,2,0.0343
2002,2,0.03247
2003,2,0.03613
2004,2,0.03544
2005,2,0.03394
2006,2,0.03793
2007,2,0.03819
2008,2,0.03589
2009,2,0.04019
2010,2,0.03767
2011,2,0.03934
2012,2,0.04565
2013,2,0.03987
2014,2,0.04233
2015,2,0.03977
2016,2,0.04136
2017,2,0.0457
2018,2,0.04772
2019,2,0.04378
2020,2,0.04874
2021,2,0.03961
2022,2,0.04144
2023,2,0.04684
2024,2,0.03817
1952,3,0.0002229
1953,3,0.0004221
1954,3,0.0003136
1955,3,0.0003077
1956,3,0.0001989
1957,3,0.0005086
1958,3,0.0007872
1959,3,0.0005676
1960,3,0.0006751
1961,3,0.001184
1962,3,0.001503
1963,3,0.00138
1964,3,0.001209
1965,3,0.00123
1966,3,0.001871
1967,3,0.001224
1968,3,0.001497
1969,3,0.001488
1970,3,0.002068
1971,3,0.002404
1972,3,0.002945
1973,3,0.003761
1974,3,0.003411
1975,3,0.003533
1976,3,0.004144
1977,3,0.005119
1978,3,0.005171
1979,3,0.006566
1980,3,0.007516
1981,3,0.007617
1982,3,0.007496
1983,3,0.009676
1984,3,0.01161
1985,3,0.009653
1986,3,0.00834
1987,3,0.01101
1988,3,0.01176
1989,3,0.01564
1990,3,0.01828
1991,3,0.01691
1992,3,0.02503
1993,3,0.02566
1994,3,0.02672
1995,3,0.02533
1996,3,0.02325
1997,3,0.02688
1998,3,0.03212
1999,3,0.03066
2000,3,0.034
2001,3,0.03531
2002,3,0.03683
2003,3,0.03774
2004,3,0.04623
2005,3,0.04625
2006,3,0.03483
2007,3,0.03553
2008,3,0.0478
2009,3,0.03415
2010,3,0.03719
2011,3,0.03477
2012,3,0.04408
2013,3,0.03491
2014,3,0.03869
2015,3,0.04069
2016,3,0.04734
2017,3,0.05295
2018,3,0.04282
2019,3,0.03939
2020,3,0.03723
2021,3,0.0412
2022,3,0.03357
2023,3,0.05035
2024,3,0.04166
1952,4,0.0003977
1953,4,0.0004232
1954,4,0.0004225
1955,4,0.0003061
1956,4,0.0004357
1957,4,0.001073
1958,4,0.0007586
1959,4,0.000902
1960,4,0.0009151
1961,4,0.0013
1962,4,0.001359
1963,4,0.001659
1964,4,0.001011
1965,4,0.001147
1966,4,0.001587
1967,4,0.001176
1968,4,0.001049
1969,4,0.00138
1970,4,0.00217
1971,4,0.00238
1972,4,0.00221
1973,4,0.002916
1974,4,0.003249
1975,4,0.003738
1976,4,0.004049
1977,4,0.00442
1978,4,0.004577
1979,4,0.005871
1980,4,0.00571
1981,4,0.006408
1982,4,0.007218
1983,4,0.009609
1984,4,0.008145
1985,4,0.008547
1986,4,0.008641
1987,4,0.009862
1988,4,0.009135
1989,4,0.01329
1990,4,0.01534
1991,4,0.01926
1992,4,0.02046
1993,4,0.02168
1994,4,0.02621
1995,4,0.02569
1996,4,0.02335
1997,4,0.03105
1998,4,0.03559
1999,4,0.03383
2000,4,0.033
2001,4,0.03688
2002,4,0.03074
2003,4,0.03704
2004,4,0.04109
2005,4,0.04059
2006,4,0.03967
2007,4,0.03738
2008,4,0.0432
2009,4,0.03978
2010,4,0.04726
2011,4,0.04703
2012,4,0.04656
2013,4,0.04296
2014,4,0.04004
2015,4,0.03301
2016,4,0.04141
2017,4,0.0424
2018,4,0.04542
2019,4,0.03905
2020,4,0.04478
2021,4,0.04841
2022,4,0.03898
2023,4,0.0419
2024,4,0.04332
