year,area,age,f
1952,1,1,6.3751214e-06
1952,1,2,0.0167943144
1952,1,3,0.0245343701
1952,1,4,0.0306540205
1952,1,5,0.0248637386
1952,1,6,0.0211618132
1952,1,7,0.020335047
1952,1,8,0.017277246
1952,1,9,0.012284182
1952,1,10,0.008116367
1952,1,11,0.005814499
1952,1,12,0.0047793463
1952,1,13,0.0042846394
1952,1,14,0.0040120654
1952,1,15,0.0038434856
1952,1,16,0.0037316785
1952,1,17,0.0036546905
1952,1,18,0.0036006548
1952,1,19,0.0035623889
1952,1,20,0.0035352064
1952,1,21,0.0035159084
1952,1,22,0.0035022509
1952,1,23,0.003492637
1952,1,24,0.0034859177
1952,1,25,0.003481337
1952,1,26,0.0034781067
1952,1,27,0.0034758437
1952,1,28,0.0034742707
1952,1,29,0.0034731892
1952,1,30,0.003472453
1952,1,31,0.0034719604
1952,1,32,0.0034716368
1952,1,33,0.0034714311
1952,1,34,0.0034713051
1952,1,35,0.0034712341
1952,1,36,0.0034711988
1952,1,37,0.0034711876
1952,1,38,0.0034711876
1952,1,39,0.0034711876
1952,1,40,0.0034711876
1953,1,1,8.4249904e-06
1953,1,2,0.0341207593
1953,1,3,0.0512179081
1953,1,4,0.0643157506
1953,1,5,0.0508128465
1953,1,6,0.0411779554
1953,1,7,0.037999889
1953,1,8,0.030758435
1953,1,9,0.019950498
1953,1,10,0.0112134144
1953,1,11,0.0065840722
1953,1,12,0.0046663292
1953,1,13,0.0038591163
1953,1,14,0.0034735497
1953,1,15,0.0032630065
1953,1,16,0.0031358267
1953,1,17,0.0030538418
1953,1,18,0.0029989153
1953,1,19,0.0029613242
1953,1,20,0.0029353321
1953,1,21,0.00291731
1953,1,22,0.0029048495
1953,1,23,0.0028962978
1953,1,24,0.0028904998
1953,1,25,0.0028867891
1953,1,26,0.0028841773
1953,1,27,0.0028823512
1953,1,28,0.002881086
1953,1,29,0.0028802178
1953,1,30,0.0028796301
1953,1,31,0.0028792397
1953,1,32,0.0028789843
1953,1,33,0.0028788246
1953,1,34,0.0028787281
1953,1,35,0.0028786755
1953,1,36,0.0028786521
1953,1,37,0.0028786467
1953,1,38,0.0028786467
1953,1,39,0.0028786467
1953,1,40,0.0028786467
1954,1,1,1.07135718e-05
1954,1,2,0.0350055648
1954,1,3,0.0515353267
1954,1,4,0.0644591282
1954,1,5,0.051769771
1954,1,6,0.043242259
1954,1,7,0.040863962
1954,1,8,0.034009902
1954,1,9,0.02327898
1954,1,10,0.014414132
1954,1,11,0.009549235
1954,1,12,0.007378558
1954,1,13,0.006349938
1954,1,14,0.005786583
1954,1,15,0.005439072
1954,1,16,0.0052087299
1954,1,17,0.0050501071
1954,1,18,0.004938778
1954,1,19,0.0048599669
1954,1,20,0.0048040209
1954,1,21,0.0047643377
1954,1,22,0.0047362855
1954,1,23,0.0047165609
1954,1,24,0.0047027914
1954,1,25,0.004693418
1954,1,26,0.0046868073
1954,1,27,0.0046821743
1954,1,28,0.0046789516
1954,1,29,0.0046767306
1954,1,30,0.0046752165
1954,1,31,0.0046741978
1954,1,32,0.0046735271
1954,1,33,0.0046730955
1954,1,34,0.0046728289
1954,1,35,0.0046726738
1954,1,36,0.0046725927
1954,1,37,0.0046725608
1954,1,38,0.0046725608
1954,1,39,0.0046725608
1954,1,40,0.0046725608
1955,1,1,1.13132777e-05
1955,1,2,0.0271781958
1955,1,3,0.0400325205
1955,1,4,0.0501278032
1955,1,5,0.0404344175
1955,1,6,0.034079893
1955,1,7,0.032506965
1955,1,8,0.027341555
1955,1,9,0.0190416
1955,1,10,0.012133017
1955,1,11,0.008316003
1955,1,12,0.006594065
1955,1,13,0.0057665271
1955,1,14,0.0053076202
1955,1,15,0.0050221814
1955,1,16,0.004832079
1955,1,17,0.0047008208
1955,1,18,0.0046085534
1955,1,19,0.0045431649
1955,1,20,0.0044967082
1955,1,21,0.0044637285
1955,1,22,0.0044403946
1955,1,23,0.0044239708
1955,1,24,0.0044124932
1955,1,25,0.0044046595
1955,1,26,0.0043991387
1955,1,27,0.004395272
1955,1,28,0.0043925851
1955,1,29,0.004390735
1955,1,30,0.0043894767
1955,1,31,0.004388632
1955,1,32,0.004388077
1955,1,33,0.0043877224
1955,1,34,0.004387505
1955,1,35,0.0043873802
1955,1,36,0.0043873168
1955,1,37,0.0043872947
1955,1,38,0.0043872947
1955,1,39,0.0043872947
1955,1,40,0.0043872947
1956,1,1,1.16868635e-05
1956,1,2,0.0225024715
1956,1,3,0.0338303751
1956,1,4,0.0425969265
1956,1,5,0.0339712527
1956,1,6,0.0280853473
1956,1,7,0.026458585
1956,1,8,0.021903098
1956,1,9,0.014739813
1956,1,10,0.008831744
1956,1,11,0.0056156468
1956,1,12,0.0042077146
1956,1,13,0.0035606788
1956,1,14,0.0032184726
1956,1,15,0.0030137414
1956,1,16,0.0028811522
1956,1,17,0.002791361
1956,1,18,0.0027290938
1956,1,19,0.0026854061
1956,1,20,0.0026546103
1956,1,21,0.0026328977
1956,1,22,0.0026176365
1956,1,23,0.0026069685
1956,1,24,0.0025995722
1956,1,25,0.002594598
1956,1,26,0.0025910992
1956,1,27,0.0025886548
1956,1,28,0.00258696
1956,1,29,0.0025857976
1956,1,30,0.0025850086
1956,1,31,0.0025844841
1956,1,32,0.0025841404
1956,1,33,0.0025839243
1956,1,34,0.0025837934
1956,1,35,0.0025837201
1956,1,36,0.0025836862
1956,1,37,0.002583677
1956,1,38,0.002583677
1956,1,39,0.002583677
1956,1,40,0.002583677
1957,1,1,1.21249379e-05
1957,1,2,0.0110052439
1957,1,3,0.016151141
1957,1,4,0.0203317922
1957,1,5,0.0169017513
1957,1,6,0.0150914202
1957,1,7,0.0151735452
1957,1,8,0.013474783
1957,1,9,0.010177594
1957,1,10,0.0072780534
1957,1,11,0.0055780816
1957,1,12,0.0047315931
1957,1,13,0.0042732424
1957,1,14,0.0039921917
1957,1,15,0.0038052563
1957,1,16,0.0036756129
1957,1,17,0.0035839077
1957,1,18,0.0035184643
1957,1,19,0.0034716144
1957,1,20,0.0034380766
1957,1,21,0.0034141168
1957,1,22,0.0033970577
1957,1,23,0.0033849692
1957,1,24,0.0033764555
1957,1,25,0.003370547
1957,1,26,0.0033663871
1957,1,27,0.0033634783
1957,1,28,0.0033614599
1957,1,29,0.0033600744
1957,1,30,0.0033591353
1957,1,31,0.0033585066
1957,1,32,0.0033580957
1957,1,33,0.0033578356
1957,1,34,0.0033576774
1957,1,35,0.0033575898
1957,1,36,0.0033575478
1957,1,37,0.0033575342
1957,1,38,0.0033575342
1957,1,39,0.0033575342
1957,1,40,0.0033575342
1958,1,1,1.3206016e-05
1958,1,2,0.0169251247
1958,1,3,0.0244177563
1958,1,4,0.0305305441
1958,1,5,0.0254039172
1958,1,6,0.022653874
1958,1,7,0.022643941
1958,1,8,0.020036922
1958,1,9,0.01515109
1958,1,10,0.010893324
1958,1,11,0.008417673
1958,1,12,0.007200169
1958,1,13,0.006549289
1958,1,14,0.006153633
1958,1,15,0.005891647
1958,1,16,0.005710292
1958,1,17,0.005582075
1958,1,18,0.0054905648
1958,1,19,0.0054250299
1958,1,20,0.0053780912
1958,1,21,0.0053445398
1958,1,22,0.005320641
1958,1,23,0.0053037006
1958,1,24,0.0052917626
1958,1,25,0.0052834814
1958,1,26,0.0052776468
1958,1,27,0.0052735607
1958,1,28,0.0052707216
1958,1,29,0.0052687701
1958,1,30,0.0052674442
1958,1,31,0.0052665551
1958,1,32,0.0052659732
1958,1,33,0.0052656017
1958,1,34,0.0052653749
1958,1,35,0.0052652469
1958,1,36,0.0052651837
1958,1,37,0.0052651608
1958,1,38,0.0052651608
1958,1,39,0.0052651608
1958,1,40,0.0052651608
1959,1,1,2.5897576e-05
1959,1,2,0.0219004655
1959,1,3,0.0317167488
1959,1,4,0.0398431573
1959,1,5,0.033667546
1959,1,6,0.030923489
1959,1,7,0.031804121
1959,1,8,0.029008426
1959,1,9,0.022908547
1959,1,10,0.017457801
1959,1,11,0.014269212
1959,1,12,0.012704679
1959,1,13,0.011876522
1959,1,14,0.011380416
1959,1,15,0.011056737
1959,1,16,0.01083541
1959,1,17,0.010680347
1959,1,18,0.010570359
1959,1,19,0.010491899
1959,1,20,0.010435837
1959,1,21,0.010395821
1959,1,22,0.010367345
1959,1,23,0.01034718
1959,1,24,0.01033299
1959,1,25,0.010323172
1959,1,26,0.010316264
1959,1,27,0.010311437
1959,1,28,0.0103081
1959,1,29,0.010305813
1959,1,30,0.010304271
1959,1,31,0.010303249
1959,1,32,0.01030259
1959,1,33,0.010302179
1959,1,34,0.010301939
1959,1,35,0.01030181
1959,1,36,0.01030176
1959,1,37,0.010301754
1959,1,38,0.010301754
1959,1,39,0.010301754
1959,1,40,0.010301754
1960,1,1,2.2072982e-05
1960,1,2,0.0137854079
1960,1,3,0.020438311
1960,1,4,0.025904874
1960,1,5,0.021842659
1960,1,6,0.020067744
1960,1,7,0.020773448
1960,1,8,0.019023843
1960,1,9,0.015008172
1960,1,10,0.011387892
1960,1,11,0.009260614
1960,1,12,0.0082120584
1960,1,13,0.0076554135
1960,1,14,0.0073219957
1960,1,15,0.0071049134
1960,1,16,0.0069568806
1960,1,17,0.0068534447
1960,1,18,0.0067802499
1960,1,19,0.0067281403
1960,1,20,0.0066909704
1960,1,21,0.0066644791
1960,1,22,0.0066456532
1960,1,23,0.006632337
1960,1,24,0.0066229781
1960,1,25,0.0066165145
1960,1,26,0.0066119719
1960,1,27,0.0066088058
1960,1,28,0.0066066202
1960,1,29,0.0066051277
1960,1,30,0.0066041241
1960,1,31,0.0066034625
1960,1,32,0.0066030394
1960,1,33,0.0066027798
1960,1,34,0.0066026283
1960,1,35,0.0066025526
1960,1,36,0.006602524
1960,1,37,0.0066025263
1960,1,38,0.0066025263
1960,1,39,0.0066025263
1960,1,40,0.0066025263
1961,1,1,1.6718382e-05
1961,1,2,0.029036462
1961,1,3,0.042890823
1961,1,4,0.05382394
1961,1,5,0.043685664
1961,1,6,0.037326751
1961,1,7,0.036164563
1961,1,8,0.031022007
1961,1,9,0.022353219
1961,1,10,0.015092126
1961,1,11,0.011112479
1961,1,12,0.009361378
1961,1,13,0.008554414
1961,1,14,0.008128318
1961,1,15,0.007874714
1961,1,16,0.007711458
1961,1,17,0.007601433
1961,1,18,0.0075253567
1961,1,19,0.0074720414
1961,1,20,0.0074344497
1961,1,21,0.0074079163
1961,1,22,0.0073892393
1961,1,23,0.0073761643
1961,1,24,0.0073670877
1961,1,25,0.0073609829
1961,1,26,0.0073566866
1961,1,27,0.0073536855
1961,1,28,0.0073516096
1961,1,29,0.0073501918
1961,1,30,0.007349234
1961,1,31,0.0073486021
1961,1,32,0.007348195
1961,1,33,0.0073479438
1961,1,34,0.0073477964
1961,1,35,0.007347721
1961,1,36,0.0073476906
1961,1,37,0.0073476893
1961,1,38,0.0073476893
1961,1,39,0.0073476893
1961,1,40,0.0073476893
1962,1,1,3.0721523e-05
1962,1,2,0.034555012
1962,1,3,0.049293715
1962,1,4,0.061538164
1962,1,5,0.051936659
1962,1,6,0.047447119
1962,1,7,0.048322772
1962,1,8,0.043639883
1962,1,9,0.034076792
1962,1,10,0.02558999
1962,1,11,0.020589502
1962,1,12,0.018087568
1962,1,13,0.01672685
1962,1,14,0.015889956
1962,1,15,0.015332375
1962,1,16,0.014945274
1962,1,17,0.014671186
1962,1,18,0.014475375
1962,1,19,0.014335018
1962,1,20,0.014234398
1962,1,21,0.014162404
1962,1,22,0.014111071
1962,1,23,0.014074643
1962,1,24,0.014048944
1962,1,25,0.014031086
1962,1,26,0.014018501
1962,1,27,0.014009692
1962,1,28,0.014003578
1962,1,29,0.013999375
1962,1,30,0.013996523
1962,1,31,0.013994617
1962,1,32,0.013993372
1962,1,33,0.013992581
1962,1,34,0.013992102
1962,1,35,0.013991835
1962,1,36,0.013991706
1962,1,37,0.013991669
1962,1,38,0.013991669
1962,1,39,0.013991669
1962,1,40,0.013991669
1963,1,1,1.7912899e-05
1963,1,2,0.01464667
1963,1,3,0.021169188
1963,1,4,0.026590131
1963,1,5,0.022528168
1963,1,6,0.020778259
1963,1,7,0.021426101
1963,1,8,0.019578371
1963,1,9,0.015489555
1963,1,10,0.011815116
1963,1,11,0.00964455
1963,1,12,0.008560593
1963,1,13,0.007974569
1963,1,14,0.007617114
1963,1,15,0.007380893
1963,1,16,0.007218
1963,1,17,0.0071032481
1963,1,18,0.0070215685
1963,1,19,0.0069631697
1963,1,20,0.006921377
1963,1,21,0.0068915133
1963,1,22,0.006870242
1963,1,23,0.0068551622
1963,1,24,0.0068445373
1963,1,25,0.0068371679
1963,1,26,0.0068319802
1963,1,27,0.0068283558
1963,1,28,0.0068258462
1963,1,29,0.0068241244
1963,1,30,0.0068229624
1963,1,31,0.0068221908
1963,1,32,0.0068216899
1963,1,33,0.0068213767
1963,1,34,0.0068211908
1963,1,35,0.0068210909
1963,1,36,0.0068210472
1963,1,37,0.0068210393
1963,1,38,0.0068210393
1963,1,39,0.0068210393
1963,1,40,0.0068210393
1964,1,1,1.8729663e-05
1964,1,2,0.026188734
1964,1,3,0.03797282
1964,1,4,0.047512281
1964,1,5,0.039370688
1964,1,6,0.03489952
1964,1,7,0.03480733
1964,1,8,0.030835451
1964,1,9,0.023439631
