year,area,stage,f
1952,1,adult,0.00415122370011037
1953,1,adult,0.00411830146842034
1954,1,adult,0.0061105169959656
1955,1,adult,0.00552498079828039
1956,1,adult,0.00350335303085664
1957,1,adult,0.00392055807215621
1958,1,adult,0.00607664343785289
1959,1,adult,0.0113125163851701
1960,1,adult,0.00727442744140505
1961,1,adult,0.00847142633753206
1962,1,adult,0.0156487913032493
1963,1,adult,0.00752725763893984
1964,1,adult,0.0107417283580143
1965,1,adult,0.00945922999222188
1966,1,adult,0.0127423964368015
1967,1,adult,0.0102396607956062
1968,1,adult,0.0132970929533746
1969,1,adult,0.0101287417360232
1970,1,adult,0.0170541367932079
1971,1,adult,0.0111789840493169
1972,1,adult,0.0117483732851047
1973,1,adult,0.0164323204732016
1974,1,adult,0.0213005697859906
1975,1,adult,0.0160247554273307
1976,1,adult,0.0211060720674233
1977,1,adult,0.0194852606513425
1978,1,adult,0.022781190365985
1979,1,adult,0.0309507441452068
1980,1,adult,0.0317346496508437
1981,1,adult,0.023018594842031
1982,1,adult,0.016544175260058
1983,1,adult,0.0208266162146982
1984,1,adult,0.0255782313798653
1985,1,adult,0.0336936243402461
1986,1,adult,0.0223413882819281
1987,1,adult,0.0203405612074819
1988,1,adult,0.0249304626026209
1989,1,adult,0.0240339633878766
1990,1,adult,0.0201573906755767
1991,1,adult,0.0216989091091328
1992,1,adult,0.0256911092639064
1993,1,adult,0.0274810900414362
1994,1,adult,0.0150116909999432
1995,1,adult,0.0308667426486167
1996,1,adult,0.0185677180992922
1997,1,adult,0.0204585096307775
1998,1,adult,0.0235847810853389
1999,1,adult,0.0309289434071754
2000,1,adult,0.0310802878400372
2001,1,adult,0.0221688274329408
2002,1,adult,0.0197909588193401
2003,1,adult,0.0409249642743074
2004,1,adult,0.0349880727694157
2005,1,adult,0.0391590775614256
2006,1,adult,0.0428856681953144
2007,1,adult,0.0280903376355778
2008,1,adult,0.0464835758191735
2009,1,adult,0.0340295701012756
2010,1,adult,0.0325873103008245
2011,1,adult,0.0430232805479231
2012,1,adult,0.0436709061846559
2013,1,adult,0.0310904361466269
2014,1,adult,0.0204484374463577
2015,1,adult,0.030564409537656
2016,1,adult,0.0509618941236107
2017,1,adult,0.0617853021133396
2018,1,adult,0.0553207166848183
2019,1,adult,0.0532490325081001
2020,1,adult,0.0321452703709278
2021,1,adult,0.0441556963665727
2022,1,adult,0.0309460148600361
2023,1,adult,0.0467539254035709
2024,1,adult,0.0784024542493847
1952,2,adult,0.00118960994177937
1953,2,adult,0.000826255918580645
1954,2,adult,0.000816631268184606
1955,2,adult,0.000608520821520869
1956,2,adult,0.000809868814921243
1957,2,adult,0.00047308320465597
1958,2,adult,0.00328459449813967
1959,2,adult,0.00322046196569797
1960,2,adult,0.00304207209131004
1961,2,adult,0.00404786405862348
1962,2,adult,0.0048165966009878
1963,2,adult,0.00422112095491683
1964,2,adult,0.00473209134154794
1965,2,adult,0.00624007833053142
1966,2,adult,0.00713264868887835
1967,2,adult,0.00678255439932477
1968,2,adult,0.00978510317976182
1969,2,adult,0.00886651291765687
1970,2,adult,0.0183208173561143
1971,2,adult,0.0156276748266966
1972,2,adult,0.0137192033115899
1973,2,adult,0.0242543115132118
1974,2,adult,0.0285033383226874
1975,2,adult,0.0373012497194798
1976,2,adult,0.0361530277851144
1977,2,adult,0.0460703223523235
1978,2,adult,0.0610620088393123
1979,2,adult,0.0744139814586005
1980,2,adult,0.0587458986988348
1981,2,adult,0.0685375804284609
1982,2,adult,0.0618118297089468
1983,2,adult,0.0724354347095074
1984,2,adult,0.0736084145826856
1985,2,adult,0.0696327372366312
1986,2,adult,0.0646384622784568
1987,2,adult,0.0712383509363845
1988,2,adult,0.0729462550907115
1989,2,adult,0.0749702897542798
1990,2,adult,0.0846902507017883
1991,2,adult,0.104832583425295
1992,2,adult,0.106254179437679
1993,2,adult,0.0990871448318334
1994,2,adult,0.129906485280927
1995,2,adult,0.170759131548259
1996,2,adult,0.220645644982272
1997,2,adult,0.170918515133465
1998,2,adult,0.194757895298827
1999,2,adult,0.205861649995024
2000,2,adult,0.255887041232891
2001,2,adult,0.326753425362113
2002,2,adult,0.321010275632518
2003,2,adult,0.320266929813209
2004,2,adult,0.318621368952158
2005,2,adult,0.251119578299439
2006,2,adult,0.257429576034326
2007,2,adult,0.281772298500637
2008,2,adult,0.303429928794149
2009,2,adult,0.327388128370255
2010,2,adult,0.31805876915858
2011,2,adult,0.35346943665246
2012,2,adult,0.428513927308556
2013,2,adult,0.48605158084499
2014,2,adult,0.723573269819042
2015,2,adult,0.623836852967664
2016,2,adult,0.475629861752208
2017,2,adult,0.357523869908206
2018,2,adult,0.511540374305281
2019,2,adult,0.516915015886811
2020,2,adult,0.408506020191436
2021,2,adult,0.451634844365568
2022,2,adult,0.450041245028025
2023,2,adult,0.453744255380229
2024,2,adult,0.810653906518227
1952,3,adult,0.000917108291751262
1953,3,adult,0.00214227389947522
1954,3,adult,0.00147157685558498
1955,3,adult,0.000705302943964342
1956,3,adult,0.00197298282007882
1957,3,adult,0.00411483654842111
1958,3,adult,0.00235793430559229
1959,3,adult,0.000655146056506274
1960,3,adult,0.00278352405673826
1961,3,adult,0.00304048330306399
1962,3,adult,0.00576233140544015
1963,3,adult,0.00216706455241726
1964,3,adult,0.00160056176439392
1965,3,adult,0.00126953464668023
1966,3,adult,0.00395026537723291
1967,3,adult,0.00257121811353495
1968,3,adult,0.00323068999612013
1969,3,adult,0.000883713613402405
1970,3,adult,0.000625060769363058
1971,3,adult,0.00410911951292585
1972,3,adult,0.00295687916115093
1973,3,adult,0.00803180142178051
1974,3,adult,0.00290032498872001
1975,3,adult,0.003154045701951
1976,3,adult,0.00433779322627902
1977,3,adult,0.0052864675735236
1978,3,adult,0.00679584369553947
1979,3,adult,0.00445575953554488
1980,3,adult,0.0145822535390375
1981,3,adult,0.0162313218987682
1982,3,adult,0.0187930114894671
1983,3,adult,0.0269392815247159
1984,3,adult,0.0296888038669468
1985,3,adult,0.0301447506283026
1986,3,adult,0.0220717094369764
1987,3,adult,0.0119379385886249
1988,3,adult,0.0118295973025066
1989,3,adult,0.0730839894655711
1990,3,adult,0.045559848483801
1991,3,adult,0.0929110310197074
1992,3,adult,0.0442640447235074
1993,3,adult,0.0325975427301242
1994,3,adult,0.0229573915055522
1995,3,adult,0.0696962894448403
1996,3,adult,0.054445684228169
1997,3,adult,0.0510947922894114
1998,3,adult,0.0701128434367997
1999,3,adult,0.0425947483005026
2000,3,adult,0.071557574966274
2001,3,adult,0.0855575494035697
2002,3,adult,0.066008009374296
2003,3,adult,0.184477707243354
2004,3,adult,0.0946977416610326
