year,season,area,age,n
1952,1,1,1,219889
1952,1,1,2,1974880
1952,1,1,3,4765690
1952,1,1,4,3902290
1952,1,1,5,2054610
1952,1,1,6,2078740
1952,1,1,7,3511270
1952,1,1,8,3347890
1952,1,1,9,2235350
1952,1,1,10,2034530
1952,1,1,11,2745300
1952,1,1,12,2668540
1952,1,1,13,1959570
1952,1,1,14,1720110
1952,1,1,15,2054060
1952,1,1,16,1997820
1952,1,1,17,1542140
1952,1,1,18,1330400
1952,1,1,19,1475900
1952,1,1,20,1429920
1952,1,1,21,1136610
1952,1,1,22,971104
1952,1,1,23,1027270
1952,1,1,24,990441
1952,1,1,25,801911
1952,1,1,26,681149
1952,1,1,27,697710
1952,1,1,28,669536
1952,1,1,29,548696
1952,1,1,30,464360
1952,1,1,31,465039
1952,1,1,32,444383
1952,1,1,33,367202
1952,1,1,34,310033
1952,1,1,35,305488
1952,1,1,36,290859
1952,1,1,37,241742
1952,1,1,38,203797
1952,1,1,39,198428
1952,1,1,40,849211
1953,1,1,1,219889
1953,1,1,2,1975070
1953,1,1,3,4764770
1953,1,1,4,3900840
1953,1,1,5,1704540
1953,1,1,6,1870250
1953,1,1,7,3504990
1953,1,1,8,3363560
1953,1,1,9,2205080
1953,1,1,10,2024990
1953,1,1,11,2798920
1953,1,1,12,2733160
1953,1,1,13,1999650
1953,1,1,14,1760630
1953,1,1,15,2119550
1953,1,1,16,2064400
1953,1,1,17,1590710
1953,1,1,18,1373140
1953,1,1,19,1527640
1953,1,1,20,1480990
1953,1,1,21,1176390
1953,1,1,22,1005190
1953,1,1,23,1064480
1953,1,1,24,1026690
1953,1,1,25,831029
1953,1,1,26,705856
1953,1,1,27,723334
1953,1,1,28,694274
1953,1,1,29,568909
1953,1,1,30,481436
1953,1,1,31,482226
1953,1,1,32,460870
1953,1,1,33,380811
1953,1,1,34,321505
1953,1,1,35,316815
1953,1,1,36,301671
1953,1,1,37,250726
1953,1,1,38,211361
1953,1,1,39,205799
1953,1,1,40,1161180
1954,1,1,1,536243
1954,1,1,2,1457870
1954,1,1,3,2357050
1954,1,1,4,1586520
1954,1,1,5,2052360
1954,1,1,6,2054080
1954,1,1,7,3422440
1954,1,1,8,3278160
1954,1,1,9,1993410
1954,1,1,10,1870290
1954,1,1,11,2704850
1954,1,1,12,2657510
1954,1,1,13,1929670
1954,1,1,14,1707240
1954,1,1,15,2084510
1954,1,1,16,2036630
1954,1,1,17,1565450
1954,1,1,18,1353830
1954,1,1,19,1514680
1954,1,1,20,1470060
1954,1,1,21,1166210
1954,1,1,22,996911
1954,1,1,23,1057980
1954,1,1,24,1020960
1954,1,1,25,825955
1954,1,1,26,701585
1954,1,1,27,719562
1954,1,1,28,690862
1954,1,1,29,565994
1954,1,1,30,478947
1954,1,1,31,479891
1954,1,1,32,458723
1954,1,1,33,379008
1954,1,1,34,319962
1954,1,1,35,315334
1954,1,1,36,300296
1954,1,1,37,249578
1954,1,1,38,210381
1954,1,1,39,204853
1954,1,1,40,1350240
1955,1,1,1,507518
1955,1,1,2,4580570
1955,1,1,3,9534670
1955,1,1,4,3735150
1955,1,1,5,2673800
1955,1,1,6,919013
1955,1,1,7,2000920
1955,1,1,8,1058990
1955,1,1,9,2198150
1955,1,1,10,1989130
1955,1,1,11,2657130
1955,1,1,12,2603070
1955,1,1,13,1814340
1955,1,1,14,1620350
1955,1,1,15,2026120
1955,1,1,16,1986980
1955,1,1,17,1520660
1955,1,1,18,1318610
1955,1,1,19,1488570
1955,1,1,20,1447940
1955,1,1,21,1146680
1955,1,1,22,981485
1955,1,1,23,1046020
1955,1,1,24,1010360
1955,1,1,25,816590
1955,1,1,26,693885
1955,1,1,27,712934
1955,1,1,28,684821
1955,1,1,29,560793
1955,1,1,30,474577
1955,1,1,31,475881
1955,1,1,32,455015
1955,1,1,33,375868
1955,1,1,34,317304
1955,1,1,35,312823
1955,1,1,36,297958
1955,1,1,37,247612
1955,1,1,38,208715
1955,1,1,39,203264
1955,1,1,40,1469830
1956,1,1,1,853268
1956,1,1,2,2538970
1956,1,1,3,8232050
1956,1,1,4,1768580
1956,1,1,5,924494
1956,1,1,6,2772090
1956,1,1,7,8332550
1956,1,1,8,2430340
1956,1,1,9,2841750
1956,1,1,10,771600
1956,1,1,11,1668860
1956,1,1,12,722206
1956,1,1,13,1927770
1956,1,1,14,1688090
1956,1,1,15,1999430
1956,1,1,16,1955250
1956,1,1,17,1459240
1956,1,1,18,1271870
1956,1,1,19,1456150
1956,1,1,20,1419770
1956,1,1,21,1121340
1956,1,1,22,961255
1956,1,1,23,1030460
1956,1,1,24,996907
1956,1,1,25,804743
1956,1,1,26,684432
1956,1,1,27,705405
1956,1,1,28,678099
1956,1,1,29,554902
1956,1,1,30,469729
1956,1,1,31,471669
1956,1,1,32,451163
1956,1,1,33,372558
1956,1,1,34,314527
1956,1,1,35,310276
1956,1,1,36,295599
1956,1,1,37,245613
1956,1,1,38,207025
1956,1,1,39,201676
1956,1,1,40,1543630
1957,1,1,1,2518000
1957,1,1,2,1714240
1957,1,1,3,9021600
1957,1,1,4,1102340
1957,1,1,5,518925
1957,1,1,6,1354520
1957,1,1,7,7241720
1957,1,1,8,1128670
1957,1,1,9,966011
1957,1,1,10,2256270
1957,1,1,11,7015630
1957,1,1,12,1624540
1957,1,1,13,2479380
1957,1,1,14,619539
1957,1,1,15,1299560
1957,1,1,16,487774
1957,1,1,17,1520830
1957,1,1,18,1309520
1957,1,1,19,1442680
1957,1,1,20,1403160
1957,1,1,21,1090140
1957,1,1,22,937505
1957,1,1,23,1014090
1957,1,1,24,982665
1957,1,1,25,791853
1957,1,1,26,674073
1957,1,1,27,697457
1957,1,1,28,671236
1957,1,1,29,548817
1957,1,1,30,464880
1957,1,1,31,467880
1957,1,1,32,447813
1957,1,1,33,369611
1957,1,1,34,312113
1957,1,1,35,308221
1957,1,1,36,293735
1957,1,1,37,244002
1957,1,1,38,205677
1957,1,1,39,200457
1957,1,1,40,1589710
1958,1,1,1,2774070
1958,1,1,2,2124890
1958,1,1,3,15538300
1958,1,1,4,1205380
1958,1,1,5,619905
1958,1,1,6,789877
1958,1,1,7,7987090
1958,1,1,8,686221
1958,1,1,9,516361
1958,1,1,10,1038130
1958,1,1,11,6121180
1958,1,1,12,748550
1958,1,1,13,836822
1958,1,1,14,1773500
1958,1,1,15,5468230
1958,1,1,16,1076860
1958,1,1,17,1944370
1958,1,1,18,468518
1958,1,1,19,952935
1958,1,1,20,323704
1958,1,1,21,1120730
1958,1,1,22,956019
1958,1,1,23,1005330
1958,1,1,24,972144
1958,1,1,25,774655
1958,1,1,26,660853
1958,1,1,27,687939
1958,1,1,28,662850
1958,1,1,29,541327
1958,1,1,30,458775
1958,1,1,31,462975
1958,1,1,32,443503
1958,1,1,33,365830
1958,1,1,34,309071
1958,1,1,35,305753
1958,1,1,36,291530
1958,1,1,37,242088
1958,1,1,38,204105
1958,1,1,39,199089
1958,1,1,40,1614850
1959,1,1,1,2380830
1959,1,1,2,1550320
1959,1,1,3,10407000
1959,1,1,4,625155
1959,1,1,5,398833
1959,1,1,6,795845
1959,1,1,7,13632200
1959,1,1,8,717062
1959,1,1,9,539002
1959,1,1,10,554890
1959,1,1,11,6698380
1959,1,1,12,447694
1959,1,1,13,437965
1959,1,1,14,782295
1959,1,1,15,4751550
1959,1,1,16,491675
1959,1,1,17,651990
1959,1,1,18,1320880
1959,1,1,19,4002850
1959,1,1,20,703405
1959,1,1,21,1424570
1959,1,1,22,337871
1959,1,1,23,668769
1959,1,1,24,211551
1959,1,1,25,788155
1959,1,1,26,668548
1959,1,1,27,681302
1959,1,1,28,655324
1959,1,1,29,531004
1959,1,1,30,450703
1959,1,1,31,456751
1959,1,1,32,437929
1959,1,1,33,360947
1959,1,1,34,305030
1959,1,1,35,302314
1959,1,1,36,288444
1959,1,1,37,239419
1959,1,1,38,201930
1959,1,1,39,197235
1959,1,1,40,1623870
1960,1,1,1,3354840
1960,1,1,2,1528100
1960,1,1,3,6183150
1960,1,1,4,373375
1960,1,1,5,276359
1960,1,1,6,463609
1960,1,1,7,8993710
1960,1,1,8,373523
1960,1,1,9,288265
1960,1,1,10,505035
1960,1,1,11,11390900
1960,1,1,12,465790
1960,1,1,13,437708
1960,1,1,14,398108
1960,1,1,15,5181800
1960,1,1,16,291702
1960,1,1,17,337632
1960,1,1,18,566980
1960,1,1,19,3464190
1960,1,1,20,318513
1960,1,1,21,474930
1960,1,1,22,941389
1960,1,1,23,2799280
1960,1,1,24,453100
1960,1,1,25,995525
1960,1,1,26,234690
1960,1,1,27,453751
1960,1,1,28,136260
1960,1,1,29,535226
1960,1,1,30,452397
1960,1,1,31,450976
1960,1,1,32,431766
1960,1,1,33,353901
1960,1,1,34,299389
1960,1,1,35,297578
1960,1,1,36,284116
1960,1,1,37,235709
1960,1,1,38,198820
1960,1,1,39,194430
1960,1,1,40,1617590
1961,1,1,1,3709770
1961,1,1,2,3547510
1961,1,1,3,7106980
1961,1,1,4,517096
1961,1,1,5,381245
1961,1,1,6,418207
1961,1,1,7,5258660
1961,1,1,8,251569
1961,1,1,9,177512
1961,1,1,10,266117
1961,1,1,11,7549230
1961,1,1,12,256369
1961,1,1,13,219046
1961,1,1,14,344433
1961,1,1,15,8850180
1961,1,1,16,307374
1961,1,1,17,332692
1961,1,1,18,281360
1961,1,1,19,3791900
1961,1,1,20,189406
1961,1,1,21,245905
1961,1,1,22,399341
1961,1,1,23,2431090
1961,1,1,24,205346
1961,1,1,25,332668
1961,1,1,26,652826
1961,1,1,27,1906430
1961,1,1,28,290636
1961,1,1,29,677290
1961,1,1,30,159509
1961,1,1,31,302301
1961,1,1,32,87364.7
1961,1,1,33,356736
1961,1,1,34,300850
1961,1,1,35,295198
1961,1,1,36,281508
1961,1,1,37,232616
1961,1,1,38,196356
1961,1,1,39,192403
1961,1,1,40,1612230
1962,1,1,1,2703760
1962,1,1,2,7908570
1962,1,1,3,7505230
1962,1,1,4,668416
1962,1,1,5,462284
1962,1,1,6,963831
1962,1,1,7,5816270
1962,1,1,8,392373
1962,1,1,9,232858
1962,1,1,10,227408
1962,1,1,11,4353670
1962,1,1,12,190179
1962,1,1,13,125994
1962,1,1,14,170140
1962,1,1,15,5844410
1962,1,1,16,177238
1962,1,1,17,160644
1962,1,1,18,234764
1962,1,1,19,6470710
1962,1,1,20,201411
1962,1,1,21,239774
1962,1,1,22,194144
1962,1,1,23,2658560
1962,1,1,24,121953
1962,1,1,25,171691
1962,1,1,26,273736
1962,1,1,27,1653990
1962,1,1,28,131331
1962,1,1,29,225906
1962,1,1,30,441657
1962,1,1,31,1268860
1962,1,1,32,185067
1962,1,1,33,450355
1962,1,1,34,106229
1962,1,1,35,197966
1962,1,1,36,55597.1
1962,1,1,37,233676
1962,1,1,38,196784
1962,1,1,39,190862
1962,1,1,40,1602640
1963,1,1,1,2759600
1963,1,1,2,12892000
1963,1,1,3,5910720
1963,1,1,4,611884
1963,1,1,5,449479
1963,1,1,6,2241530
1963,1,1,7,5943820
1963,1,1,8,534681
