fishery,age,sel
1,1,0.0035
1,2,0.0068
1,3,0.025
1,4,0.0934
1,5,0.2715
1,6,0.5647
1,7,0.8551
1,8,1
1,9,0.9959
1,10,0.9248
1,11,0.8405
1,12,0.765
1,13,0.7043
1,14,0.6578
1,15,0.623
1,16,0.5974
1,17,0.5786
1,18,0.5649
1,19,0.555
1,20,0.5478
1,21,0.5427
1,22,0.539
1,23,0.5363
1,24,0.5344
1,25,0.5331
1,26,0.5322
1,27,0.5315
1,28,0.5311
1,29,0.5308
1,30,0.5306
1,31,0.5304
1,32,0.5303
1,33,0.5303
1,34,0.5302
1,35,0.5302
1,36,0.5302
1,37,0.5302
1,38,0.5302
1,39,0.5302
1,40,0.5302
2,1,0
2,2,0
2,3,0.0091
2,4,0.0169
2,5,0.0484
2,6,0.1146
2,7,0.2073
2,8,0.3146
2,9,0.4255
2,10,0.5326
2,11,0.6303
2,12,0.7144
2,13,0.7835
2,14,0.8383
2,15,0.8807
2,16,0.9129
2,17,0.9368
2,18,0.9545
2,19,0.9674
2,20,0.9768
2,21,0.9835
2,22,0.9884
2,23,0.9918
2,24,0.9943
2,25,0.996
2,26,0.9973
2,27,0.9981
2,28,0.9987
2,29,0.9992
2,30,0.9995
2,31,0.9997
2,32,0.9998
2,33,0.9999
2,34,0.9999
2,35,1
2,36,1
2,37,1
2,38,1
2,39,1
2,40,1
3,1,2e-04
3,2,0.0018
3,3,0.0426
3,4,0.2387
3,5,0.3812
3,6,0.3884
3,7,0.372
3,8,0.3893
3,9,0.4415
3,10,0.5118
3,11,0.5889
3,12,0.6647
3,13,0.7339
3,14,0.7937
3,15,0.8431
3,16,0.8825
3,17,0.9132
3,18,0.9366
3,19,0.9541
3,20,0.9671
3,21,0.9766
3,22,0.9835
3,23,0.9884
3,24,0.992
3,25,0.9945
3,26,0.9962
3,27,0.9975
3,28,0.9983
3,29,0.9989
3,30,0.9993
3,31,0.9996
3,32,0.9998
3,33,0.9999
3,34,0.9999
3,35,1
3,36,1
3,37,1
3,38,1
3,39,1
3,40,1
4,1,0
4,2,0
4,3,1e-04
4,4,7e-04
4,5,0.0106
4,6,0.0828
4,7,0.2819
4,8,0.5654
4,9,0.8141
4,10,0.9556
4,11,1
4,12,0.9906
4,13,0.9594
4,14,0.9236
4,15,0.8906
4,16,0.8631
4,17,0.8412
4,18,0.8243
4,19,0.8115
4,20,0.8019
4,21,0.7948
4,22,0.7897
4,23,0.7859
4,24,0.7832
4,25,0.7812
4,26,0.7799
4,27,0.7789
4,28,0.7782
4,29,0.7777
4,30,0.7773
4,31,0.7771
4,32,0.7769
4,33,0.7768
4,34,0.7768
4,35,0.7767
4,36,0.7767
4,37,0.7767
4,38,0.7767
4,39,0.7767
4,40,0.7767
5,1,0
5,2,0
5,3,2e-04
5,4,6e-04
5,5,0.0033
5,6,0.0071
5,7,0.008
5,8,0.0089
5,9,0.012
5,10,0.0208
5,11,0.041
5,12,0.079
5,13,0.1401
5,14,0.2247
5,15,0.3268
5,16,0.4368
5,17,0.5444
5,18,0.6422
5,19,0.7259
5,20,0.7942
5,21,0.8482
5,22,0.8895
5,23,0.9206
5,24,0.9436
5,25,0.9603
5,26,0.9724
5,27,0.981
5,28,0.9871
5,29,0.9914
5,30,0.9943
5,31,0.9964
5,32,0.9978
5,33,0.9987
5,34,0.9993
5,35,0.9996
5,36,0.9999
5,37,1
5,38,1
5,39,1
5,40,1
6,1,0.0031
6,2,0.0014
6,3,9e-04
6,4,0.0029
6,5,0.0225
6,6,0.1409
6,7,0.4843
6,8,0.872
6,9,1
6,10,0.9262
6,11,0.7893
6,12,0.661
6,13,0.5605
6,14,0.4871
6,15,0.4346
6,16,0.3974
6,17,0.371
6,18,0.3523
6,19,0.339
6,20,0.3295
6,21,0.3227
6,22,0.3179
6,23,0.3145
6,24,0.312
6,25,0.3103
6,26,0.3091
6,27,0.3083
6,28,0.3077
6,29,0.3073
6,30,0.3071
6,31,0.3069
6,32,0.3068
6,33,0.3067
6,34,0.3066
6,35,0.3066
6,36,0.3066
6,37,0.3066
6,38,0.3066
6,39,0.3066
6,40,0.3066
7,1,0
7,2,0
7,3,0
7,4,0
7,5,7e-04
7,6,0.013
7,7,0.1027
7,8,0.3822
7,9,0.7753
7,10,1
7,11,0.9838
7,12,0.8615
7,13,0.7284
7,14,0.6183
7,15,0.5357
7,16,0.476
7,17,0.4334
7,18,0.4031
7,19,0.3815
7,20,0.366
7,21,0.355
7,22,0.3472
7,23,0.3416
7,24,0.3376
7,25,0.3347
7,26,0.3327
7,27,0.3313
7,28,0.3303
7,29,0.3296
7,30,0.3291
7,31,0.3288
7,32,0.3286
7,33,0.3284
7,34,0.3283
7,35,0.3283
7,36,0.3282
7,37,0.3282
7,38,0.3282
7,39,0.3282
7,40,0.3282
8,1,0
8,2,0
8,3,0.0153
8,4,0.0158
8,5,0.0224
8,6,0.0493
8,7,0.1269
8,8,0.2861
8,9,0.5126
8,10,0.7278
8,11,0.873
8,12,0.953
8,13,0.989
8,14,1
8,15,0.9987
8,16,0.9922
8,17,0.9842
8,18,0.9767
8,19,0.9701
8,20,0.9648
8,21,0.9607
8,22,0.9575
8,23,0.955
8,24,0.9533
8,25,0.952
8,26,0.951
8,27,0.9503
8,28,0.9498
8,29,0.9495
8,30,0.9492
8,31,0.9491
8,32,0.949
8,33,0.9489
8,34,0.9488
8,35,0.9488
8,36,0.9488
8,37,0.9488
8,38,0.9488
8,39,0.9488
8,40,0.9488
9,1,0
9,2,0
9,3,0.0037
9,4,9e-04
9,5,2e-04
9,6,6e-04
9,7,0.0055
9,8,0.0499
9,9,0.2507
9,10,0.6176
9,11,0.9007
9,12,1
9,13,0.9756
9,14,0.9028
9,15,0.8239
9,16,0.7554
