year,rec,catch,tb,sb,sbf0,dep,f
1952,5555827229,26464.34,20052400,13200487.5,13207965,0.999433864338677,0.0013197
1953,3065938187,34631.14,19919700,13275155,13304180,0.997818354832842,0.0017383
1954,7516181096,33635.15,18902325,13241095,13291425,0.996213348079683,0.0017775
1955,4751615192,32524.67,18926700,12570987.5,12635807.5,0.994870133942765,0.0017206
1956,4396210418,32253.63,19034350,12342870,12414767.5,0.994208711520373,0.0016934
1957,6969393850,52890.9,18659900,12654767.5,12735877.5,0.993631377186221,0.0028328
1958,4497517840,61357.4,19165975,12334855,12439837.5,0.991560782043978,0.0032002
1959,2653898270,65884.7,19169075,12525550,12651280,0.990061875162039,0.0034342
1960,3142271200,73891.5,17593825,12801645,12947540,0.988731836317941,0.0041782
1961,3612479090,78280.4,15665385,11780955,11940997.5,0.986597225231812,0.005003
1962,3383961268,82725.6,14336335,10292115,10466410,0.983347203100203,0.005764
1963,5320390084,70869.8,13569357.5,9351470,9529082.5,0.981361007211345,0.005231
1964,1957162875,63982.5,13752222.5,8860015,9039937.5,0.980096930979888,0.004653
1965,2951804364,64105.2,13345472.5,8947345,9121865,0.980867947508541,0.004804
1966,1665979218.3,89007.5,12295540,8941860,9123802.5,0.980058478907232,0.007239
1967,3900059730,55673.6,11132370,8113345,8301247.5,0.977364546714214,0.005
1968,2612553430,65524.4,10732187.5,7333845,7511740,0.976317737301877,0.006106
1969,3955615770,68050.5,10813677.5,6923660,7096332.5,0.975667360569703,0.006293
1970,1641061231,103911.4,11060005,7090040,7268675,0.975423994056688,0.009398
1971,2675520645,104084.7,10632795,7250205,7452807.5,0.972815278000941,0.009787
1972,3608093079,111243.8,9942910,7100957.5,7372480,0.963170805482009,0.011178
1973,1979429867,130455.9,9868500,6492260,6851510,0.947566302902572,0.013217
1974,2741028293,133747.7,9602512.5,6383177.5,6839037.5,0.933344421638279,0.013921
1975,3411581141,137597.5,9266170,6345075,6883782.5,0.92174251583341,0.014848
1976,3958764761,154195.7,9482635,6028107.5,6644182.5,0.90727602680992,0.016256
1977,2209127852,195413.2,10130955,6098170,6797762.5,0.897084886387249,0.019286
1978,2357362262,201169,10113437.5,6562655,7350185,0.892855758052348,0.019886
1979,2124369703,234411.2,9503592.5,6677492.5,7552257.5,0.884171719515655,0.024674
1980,2705920294,236311.7,8779462.5,6187515,7113307.5,0.869850628557812,0.026907
1981,2704808089,242191,8405122.5,5663077.5,6612670,0.85639802076922,0.028817
1982,2872135544,249496.4,8347317.5,5370042.5,6346182.5,0.84618469449941,0.029891
1983,1937787445.8,302683.3,8361315,5344482.5,6385930,0.836915296597363,0.036211
1984,4133225019,301388.4,8141767.5,5367120,6512867.5,0.824079408954658,0.037028
1985,2605855043,312717.6,8514810,5225197.5,6465147.5,0.808210098841519,0.036721
1986,2530058443,301258.2,8755077.5,5382507.5,6724360,0.800449039016352,0.03441
1987,2565909883,345513.8,8541372.5,5675622.5,7124790,0.796602075289237,0.040461
1988,1949531094,338688.4,8124000,5497302.5,7027595,0.782245206219197,0.04167
1989,2478589929,400082.8,7508752.5,5199962.5,6779025,0.767066429169386,0.05338
1990,1593659817,449600.1,6881447.5,4748947.5,6414655,0.740327811862057,0.06538
1991,1886889632,484628,6058575,4274700,6083995,0.702613989656467,0.07979
1992,1714305873,484054,5271555,3755442.5,5730940,0.655292587254447,0.09181
1993,1998420967,439641,4751145,3188057.5,5318072.5,0.599476125983615,0.09258
1994,2319103699,461680.5,4615465,2850950,5034085,0.566329332937366,0.10003
1995,2070520469,467905,4708477.5,2743635,4929952.5,0.556523617621062,0.09936
1996,1807515310,445958,4737735,2838660,5071730,0.559702507822775,0.09412
1997,1763064264,492396,4544262.5,2905300,5228175,0.555700602982876,0.10853
1998,1921917120,559699,4188610,2724915,5185877.5,0.525449164582079,0.13367
1999,2248024185,487365,3974602.5,2480492.5,5026620,0.493471259016994,0.12265
2000,1912422062,526913,3967685,2329255,4946340,0.470904749774581,0.1328
2001,2082467511,532839,3938102.5,2314262.5,5056947.5,0.457640206863923,0.13531
2002,1905981840,522547,3887325,2304217.5,5171102.5,0.44559501576308,0.13441
2003,2463211685,597369,3838510,2261572.5,5225832.5,0.432767889135367,0.15557
2004,1862588301,614459,3848275,2228400,5264872.5,0.423258113088209,0.15969
2005,2230588067,564089,3704817.5,2225775,5417545,0.410845687483906,0.15235
2006,2327017240,544289,3687222.5,2148437.5,5504032.5,0.390338810681078,0.14757
2007,2410888147,571037,3813852.5,2123555,5535022.5,0.383657880342853,0.14975
2008,2130644826,636121,3925330,2207962.5,5676922.5,0.388936523265907,0.16202
2009,1754316358,562430,3826420,2254185,5854615,0.385027025688282,0.14703
2010,1792892227,576425,3626592.5,2223897.5,5895272.5,0.377234046432968,0.15913
2011,2100828342,546475,3480225,2077750,5687080,0.365345660690548,0.15698
2012,2297428665,644479,3538035,1939440,5405975,0.358758595812966,0.18215
2013,2440280329,601044,3756472.5,1958215,5321380,0.367990070244936,0.16
2014,2034545997,646362,4018270,2110465,5484162.5,0.384829041809027,0.16087
2015,2094136973,618389,4124185,2265912.5,5754012.5,0.393796937354585,0.14993
2016,2043665694,681912,4105252.5,2381005,5865050,0.405964996035839,0.16616
2017,2583459687,728857,3931387.5,2326457.5,5795170,0.401447671077811,0.18541
2018,2807146363,713924,3954672.5,2190497.5,5711107.5,0.383550388431666,0.18054
2019,1688570584,700546,4104717.5,2170795,5829345,0.372390894688854,0.1707
2020,3263574116,710982,4040647.5,2330232.5,6151522.5,0.37880581595857,0.17589
2021,2334039412.3,718967,4182782.5,2325807.5,6204482.5,0.374859224762097,0.17178
2022,2165672746.6,648863,4206972.5,2345227.5,6352845,0.369161769254562,0.1542
2023,3419977659.5,728991,4157327.5,2434927.5,6591277.5,0.369416626746484,0.17539
2024,3419977659.5,750638,4578972.5,2307975,6524742.5,0.353726603003873,0.16367
