"Index","Parameter","Estimate","L_bound","U_bound","Which"
238,"diff_coffs(1,3)",0,0,4,"Lower"
246,"diff_coffs(1,11)",0,0,4,"Lower"
249,"diff_coffs(1,14)",0,0,4,"Lower"
250,"diff_coffs(2,1)",0,0,4,"Lower"
252,"diff_coffs(2,3)",0,0,4,"Lower"
253,"diff_coffs(2,4)",0,0,4,"Lower"
254,"diff_coffs(2,5)",0,0,4,"Lower"
255,"diff_coffs(2,6)",0,0,4,"Lower"
258,"diff_coffs(2,9)",0,0,4,"Lower"
259,"diff_coffs(2,10)",0,0,4,"Lower"
262,"diff_coffs(2,13)",0,0,4,"Lower"
263,"diff_coffs(2,14)",0,0,4,"Lower"
264,"diff_coffs(3,1)",0,0,4,"Lower"
265,"diff_coffs(3,2)",0,0,4,"Lower"
266,"diff_coffs(3,3)",0,0,4,"Lower"
267,"diff_coffs(3,4)",0,0,4,"Lower"
270,"diff_coffs(3,7)",0,0,4,"Lower"
271,"diff_coffs(3,8)",0,0,4,"Lower"
273,"diff_coffs(3,10)",0,0,4,"Lower"
275,"diff_coffs(3,12)",0,0,4,"Lower"
276,"diff_coffs(3,13)",0,0,4,"Lower"
280,"diff_coffs(4,3)",0,0,4,"Lower"
281,"diff_coffs(4,4)",0,0,4,"Lower"
282,"diff_coffs(4,5)",0,0,4,"Lower"
283,"diff_coffs(4,6)",0,0,4,"Lower"
288,"diff_coffs(4,11)",0,0,4,"Lower"
289,"diff_coffs(4,12)",0,0,4,"Lower"
291,"diff_coffs(4,14)",0,0,4,"Lower"
350,"bs_selcoff_gp:15(15,1,1,1)",-20,-20,7,"Lower"
360,"bs_selcoff_gp:17(17,1,1,3)",-20,-20,7,"Lower"
364,"bs_selcoff_gp:18(18,1,1,3)",-20,-20,7,"Lower"
380,"bs_selcoff_gp:22(22,1,1,3)",-20,-20,7,"Lower"
384,"bs_selcoff_gp:23(23,1,1,3)",-20,-20,7,"Lower"
431,"tag_fish_rep(5)",0.99,0,0.99,"Upper"
432,"tag_fish_rep(6)",0.99,0,0.99,"Upper"
433,"tag_fish_rep(8)",0.99,0,0.99,"Upper"
434,"tag_fish_rep(9)",0.99,0,0.99,"Upper"
436,"tag_fish_rep(11)",0.99,0,0.99,"Upper"
438,"tag_fish_rep(13)",0.99,0,0.99,"Upper"
439,"tag_fish_rep(14)",0.99,0,0.99,"Upper"
440,"tag_fish_rep(16)",0.99,0,0.99,"Upper"
441,"tag_fish_rep(17)",0.99,0,0.99,"Upper"
442,"tag_fish_rep(18)",0.99,0,0.99,"Upper"
443,"tag_fish_rep(19)",0.99,0,0.99,"Upper"
444,"tag_fish_rep(20)",0.99,0,0.99,"Upper"
445,"tag_fish_rep(24)",0.99,0,0.99,"Upper"
446,"tag_fish_rep(25)",0.99,0,0.99,"Upper"
447,"tag_fish_rep(26)",0.99,0,0.99,"Upper"
