year,rec,catch,tb,sb,sbf0,dep,f
1952,5556, 26,20052,13200,13208,1.00,0.00
1953,3066, 35,19920,13275,13304,1.00,0.00
1954,7516, 34,18902,13241,13291,1.00,0.00
1955,4752, 33,18927,12571,12636,0.99,0.00
1956,4396, 32,19034,12343,12415,0.99,0.00
1957,6969, 53,18660,12655,12736,0.99,0.00
1958,4498, 61,19166,12335,12440,0.99,0.00
1959,2654, 66,19169,12526,12651,0.99,0.00
1960,3142, 74,17594,12802,12948,0.99,0.00
1961,3612, 78,15665,11781,11941,0.99,0.01
1962,3384, 83,14336,10292,10466,0.98,0.01
1963,5320, 71,13569, 9351, 9529,0.98,0.01
1964,1957, 64,13752, 8860, 9040,0.98,0.00
1965,2952, 64,13345, 8947, 9122,0.98,0.00
1966,1666, 89,12296, 8942, 9124,0.98,0.01
1967,3900, 56,11132, 8113, 8301,0.98,0.00
1968,2613, 66,10732, 7334, 7512,0.98,0.01
1969,3956, 68,10814, 6924, 7096,0.98,0.01
1970,1641,104,11060, 7090, 7269,0.98,0.01
1971,2676,104,10633, 7250, 7453,0.97,0.01
1972,3608,111, 9943, 7101, 7372,0.96,0.01
1973,1979,130, 9868, 6492, 6852,0.95,0.01
1974,2741,134, 9603, 6383, 6839,0.93,0.01
1975,3412,138, 9266, 6345, 6884,0.92,0.01
1976,3959,154, 9483, 6028, 6644,0.91,0.02
1977,2209,195,10131, 6098, 6798,0.90,0.02
1978,2357,201,10113, 6563, 7350,0.89,0.02
1979,2124,234, 9504, 6677, 7552,0.88,0.02
1980,2706,236, 8779, 6188, 7113,0.87,0.03
1981,2705,242, 8405, 5663, 6613,0.86,0.03
1982,2872,249, 8347, 5370, 6346,0.85,0.03
1983,1938,303, 8361, 5344, 6386,0.84,0.04
1984,4133,301, 8142, 5367, 6513,0.82,0.04
1985,2606,313, 8515, 5225, 6465,0.81,0.04
1986,2530,301, 8755, 5383, 6724,0.80,0.03
1987,2566,346, 8541, 5676, 7125,0.80,0.04
1988,1950,339, 8124, 5497, 7028,0.78,0.04
1989,2479,400, 7509, 5200, 6779,0.77,0.05
1990,1594,450, 6881, 4749, 6415,0.74,0.07
1991,1887,485, 6059, 4275, 6084,0.70,0.08
1992,1714,484, 5272, 3755, 5731,0.66,0.09
1993,1998,440, 4751, 3188, 5318,0.60,0.09
1994,2319,462, 4615, 2851, 5034,0.57,0.10
1995,2071,468, 4708, 2744, 4930,0.56,0.10
1996,1808,446, 4738, 2839, 5072,0.56,0.09
1997,1763,492, 4544, 2905, 5228,0.56,0.11
1998,1922,560, 4189, 2725, 5186,0.53,0.13
1999,2248,487, 3975, 2480, 5027,0.49,0.12
2000,1912,527, 3968, 2329, 4946,0.47,0.13
2001,2082,533, 3938, 2314, 5057,0.46,0.14
2002,1906,523, 3887, 2304, 5171,0.45,0.13
2003,2463,597, 3839, 2262, 5226,0.43,0.16
2004,1863,614, 3848, 2228, 5265,0.42,0.16
2005,2231,564, 3705, 2226, 5418,0.41,0.15
2006,2327,544, 3687, 2148, 5504,0.39,0.15
2007,2411,571, 3814, 2124, 5535,0.38,0.15
2008,2131,636, 3925, 2208, 5677,0.39,0.16
2009,1754,562, 3826, 2254, 5855,0.39,0.15
2010,1793,576, 3627, 2224, 5895,0.38,0.16
2011,2101,546, 3480, 2078, 5687,0.37,0.16
2012,2297,644, 3538, 1939, 5406,0.36,0.18
2013,2440,601, 3756, 1958, 5321,0.37,0.16
2014,2035,646, 4018, 2110, 5484,0.38,0.16
2015,2094,618, 4124, 2266, 5754,0.39,0.15
2016,2044,682, 4105, 2381, 5865,0.41,0.17
2017,2583,729, 3931, 2326, 5795,0.40,0.19
2018,2807,714, 3955, 2190, 5711,0.38,0.18
2019,1689,701, 4105, 2171, 5829,0.37,0.17
2020,3264,711, 4041, 2330, 6152,0.38,0.18
2021,2334,719, 4183, 2326, 6204,0.37,0.17
2022,2166,649, 4207, 2345, 6353,0.37,0.15
2023,3420,729, 4157, 2435, 6591,0.37,0.18
2024,3420,751, 4579, 2308, 6525,0.35,0.16
